sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
161,0.85,0.5843333333333334,0.1,1.5666666666666669,0.5843333333333334,-0.21337020118157224,3.191489361702127,0.37096313215176113,,0,0,0
162,6.09,4.409,0.24,2.175,4.409,-1.4387942429410807,2.298850574712644,2.970205757058919,,0,0,0
163,16.89,15.2325,0.5,3.8625,15.2325,-11.870149969250608,1.2944983818770228,3.362350030749391,,0,0,0
164,0.85,0.5843333333333334,0.07,1.5566666666666666,0.5843333333333334,-0.24675649697893476,3.2119914346895078,0.3375768363543986,,0,0,0
165,5.85,4.43275,0.23,2.1675,4.43275,-1.9728052088539991,2.306805074971165,2.4599447911460013,,0,0,0
166,16.87,15.795,0.75,3.8625,15.795,-12.675739787835578,1.2944983818770228,3.119260212164422,,0,0,0
167,0.8,0.5579999999999999,0.17,1.5599999999999998,0.5579999999999999,-0.13421496787216547,3.2051282051282053,0.42378503212783447,,0,0,0
168,4.61,4.293333333333333,1.11,2.563333333333333,4.293333333333333,-1.281160767495202,1.950585175552666,3.012172565838131,,0,0,0
169,16.61,16.513333333333332,3.93,4.553333333333334,16.513333333333332,-0.9490520645760139,1.0980966325036603,15.564281268757318,,0,0,0
170,0.76,0.5436666666666666,0.19,1.5533333333333337,0.5436666666666666,-0.13813467748282,3.218884120171673,0.40553198918384664,,0,0,0
171,4.74,4.0465,0.32,2.17,4.0465,-2.539855187386096,2.3041474654377883,1.5066448126139036,,0,0,0
172,15.76,14.8875,1.88,4.13,14.8875,-5.41432816130744,1.2106537530266344,9.47317183869256,,0,0,0
173,0.81,0.5826666666666666,0.23,1.5666666666666669,0.5826666666666666,-0.10084108240522566,3.191489361702127,0.4818255842614409,,0,0,0
174,5.18,4.452999999999999,0.27,2.18,4.452999999999999,-3.0468163318766663,2.293577981651376,1.4061836681233333,,0,0,0
175,17.29,16.4125,1.85,4.1125,16.4125,-7.0449167111016795,1.21580547112462,9.367583288898322,,0,0,0
176,0.57,0.478,0.65,1.5766666666666669,0.478,1.030085336792358,3.1712473572938684,1.508085336792358,5.618541660211853,0,0,0
177,3.8,3.616,1.47,2.6333333333333333,3.616,-0.2197478665470669,1.89873417721519,3.396252133452933,,0,0,0
178,13.69,12.965,2.12,4.1575,12.965,-2.5651190994340602,1.2026458208057729,10.39988090056594,,0,0,0
179,0.88,0.6386666666666666,0.48,1.5666666666666669,0.6386666666666666,1.6131069345602387,3.191489361702127,2.251773601226905,6.341467020194066,0,0,0
180,5.54,4.727,0.52,2.9225,4.727,-2.6704014746929325,1.7108639863130881,2.0565985253070678,,0,0,0
181,17.84,14.94,0.9,3.925,14.94,-5.496461772974941,1.2738853503184715,9.443538227025059,,0,0,0
182,0.66,0.4575,0.22,1.49,0.4575,-0.027363334254185356,3.3557046979865772,0.43013666574581466,,0,0,0
183,4.22,4.0145,1.93,3.1,4.0145,6.061306418916198,1.6129032258064515,10.075806418916198,2.62079246911967,0,0,0
184,15.12,14.85,3.98,4.75,14.85,32.180426060192325,1.0526315789473684,47.030426060192326,1.350645119450646,0,0,0
185,1.09,0.5446666666666667,0.13,1.5666666666666669,0.5446666666666667,0.8815615874522228,3.191489361702127,1.4262282541188895,28.12063639411261,0,0,0
186,5.16,3.81425,0.28,2.1775,3.81425,-1.2056651245348298,2.296211251435132,2.60858487546517,,0,0,0
187,16.09,11.71,0.7,3.88,11.71,-0.7202363818116204,1.288659793814433,10.98976361818838,,0,0,0
188,0.64,0.593,1.1,2.06,0.593,0.8288672686002843,2.4271844660194173,1.4218672686002842,4.470270871815466,0,0,0
189,4.79,4.4285,3.11,3.85,4.4285,94.04960705945102,1.2987012987012987,98.47810705945102,1.3926450396976646,0,0,0
