dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
LOW_1,LOW_1_direct_poly_rank_3,polynomial,log_gap,3,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,0.9845820643298874,0.9331841546617324,0.9795446704227996,0.7919839508077247,0.9809551832686644,0.2059823235364811,0.8877248967416287,4.412834044815322,0.9990107577279408,0.0157026774270057,1.388465641871244,163,0.20968317205946138,0.9804871412226238,1.7476716039424012,0.951869087585698,1.7476716039424012,0.9486397239520271,6.054264159382196,0.763311007272433,0.012192697952786949,0.9996031951852523,0.005435141237426776,0.001813402878133922,0.10329711479661183,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_poly_rank_3_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_poly_rank_4,polynomial,log_gap,4,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,0.9669470545462062,0.9266413779274902,0.94032080940027,1.3527719903604014,0.9798976171065356,0.2116241975358344,0.8628958545037451,4.87642059370798,0.9982660416580578,0.0207893880540472,1.3882336258457897,163,0.2532643541943969,0.9715329880440952,2.631385185670256,0.8908878067581459,2.6313851856702564,0.8835668786649437,6.468303845385767,0.7298306026054542,0.020041965358174436,0.9989278441565199,0.008718868467384393,0.0012831628999023731,0.09590831488842091,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_poly_rank_4_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_poly_rank_5,polynomial,log_gap,5,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_p,0.9823402207811922,0.9167033231734226,0.9658862050256386,1.0227704168328824,0.9809003628271752,0.2062785702193063,0.8780538465877546,4.598963008671264,0.9980162020521138,0.0222367387868048,1.3879787159271053,163,0.24300822099499708,0.9737918915220937,2.1988294574779568,0.9238118325045841,2.198829457477957,0.9186999556444932,6.279462578903255,0.7453754452757546,0.020668377090165908,0.998859776320923,0.008363589699116993,0.0012609010262697616,0.112192649555132,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_poly_rank_5_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_poly_rank_1,polynomial,log_gap,1,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_u_p,0.9836555730635168,0.9307804388016648,0.9705226836407814,0.9507298102622964,0.9799588718803728,0.2113015272704675,0.8774821998411542,4.6097296806804495,0.9980562091293153,0.0220113736007405,1.3971282650005268,163,0.22974822412335388,0.9765740036243634,2.1012834604368695,0.9304217151201176,2.10128346043687,0.9257533310897014,5.727470308232488,0.7881731431740048,0.02084491403764783,0.998840214914308,0.008317085973398272,0.0014490641008411953,0.11630339927041702,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_poly_rank_1_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_poly_rank_2,polynomial,log_gap,2,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,0.9824496185165298,0.9194748446742398,0.9651629943401606,1.0335548988985337,0.9809505430067492,0.2060074157631699,0.87935727757453,4.574318791158059,0.9979502948005292,0.0226031037006449,1.3898687166391526,163,0.23949649375482832,0.9745438884792462,2.0606005912616876,0.9330898389749228,2.0606005912616876,0.9286004738268554,6.149190250846716,0.7558306263910541,0.021264027066039585,0.9987931082031144,0.008579084312574222,0.0014226738165647509,0.11631829475156928,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_poly_rank_2_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_exp_rank_5,exponential,log_gap,5,delta_peak_mm + tau_r_MPa + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.913127896233903,0.91298622805529,0.927848202701485,1.4874306187057715,0.9392761611946776,0.3678079933534822,-0.5484638781695241,16.38801689053518,0.9955727846459568,0.0332190876184043,1.3054283002670777,163,0.39168463935137976,0.931912588163335,3.8835869814294446,0.7623321114049366,3.883586981429445,0.7463856853385943,8.972093118931719,0.48019210207302376,0.024457182808039744,0.9984034219208451,0.011194561154382063,0.0031343105196727974,0.1705582979639902,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_exp_rank_5_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_exp_rank_3,exponential,log_gap,3,delta_peak_mm + tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.9189611110132384,0.9058209909655662,0.8871013318477717,1.8606194202183568,0.9585760983930156,0.303785509773062,0.9548605632339492,2.798040081457683,0.997386434021927,0.0255234342890213,1.3078222661876722,163,0.39315058297404337,0.9314019779476896,3.3110456746201655,0.8272433482424134,3.3110456746201655,0.8156521686724427,16.12310145945971,-0.6786204242015856,0.025271936450001222,0.9982952749447249,0.011242400592127605,0.0030563281475222115,0.16648915793164587,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_exp_rank_3_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_exp_rank_4,exponential,log_gap,4,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p + tau_r_div_u_p,0.93289817208492,0.8790108985231988,0.9284527161742108,1.481186400200607,0.9503983896512862,0.332421758129928,-0.0185169961973166,13.291071789311502,0.995271696421858,0.0343300987242457,1.306545807057752,163,0.41597685247122484,0.9232051538899496,20.490256610976957,-5.616056868269528,20.490256610976957,-6.0599639620054,8.115752632687723,0.574682814056376,0.026265760002199635,0.9981585613852902,0.012180818711548498,0.003894673448824979,0.167948114156155,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_exp_rank_4_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_exp_rank_1,exponential,log_gap,1,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_u_p,0.9377911922482116,0.8878996970326927,0.9337374089390744,1.4254347672277778,0.9533914575032448,0.3222361907849365,0.2472533643046701,11.426159313447563,0.9953874379536176,0.033907321700522,1.3167483852654658,163,0.4102062529013189,0.9253210336995086,19.76135352999224,-5.153721116156056,19.76135352999224,-5.566607599861326,7.913903864606356,0.59557604708867,0.02685252516141874,0.9980753685995049,0.012046762438327257,0.004063548909484794,0.17033792576688148,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_exp_rank_1_b_d_from_e_predictions.csv
LOW_1,LOW_1_direct_exp_rank_2,exponential,log_gap,2,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.9307531446634834,0.8853639286544011,0.8876575710296115,1.8560302281526608,0.9601643543307052,0.2979047886266922,0.9463323572258756,3.0509291589784375,0.9968842358666138,0.0278679269202745,1.3083072083421414,163,0.41696751242554897,0.9228389403918796,19.45565352796644,-4.9648026883049035,19.45565352796644,-5.365013611335543,13.130890139731232,-0.11338063852613645,0.027774590320505423,0.9979409228168736,0.012577336830573603,0.003981269716704443,0.1725134598379301,163,163,163,163,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_1_direct_exp_rank_2_b_d_from_e_predictions.csv
