u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
3.6125,14.965,0.99,15.85,4.185634509215309,4.436770145334623,19.392988266421735
31.453947067343865,13.490170336848536,5.1,14.28,0.9263059984631752,0.8858700477379662,15.651056566364128
3.9,13.5925,1.32,14.36,3.032176279008363,2.9232452148858252,20.060315959934226
2.1825,4.11975,0.32,5.06,10.626543938716322,9.542927502382657,6.73873110714153
3.895,13.0025,1.07,14.3,3.3651116062820727,4.0029293923249085,19.171635408172587
2.175,4.409,0.24,6.09,13.515323404054092,10.315206041975191,8.580686106634358
3.8625,15.2325,0.5,16.89,8.601598077321363,7.594017721796325,19.222719488498758
2.1675,4.43275,0.23,5.85,14.978792929839672,10.416186200049708,8.095721978074865
3.8625,15.795,0.75,16.87,5.80409010742513,5.813625012880052,19.2837239991561
4.553333333333334,16.513333333333332,3.93,16.61,1.4757256498343354,2.023171984002288,24.392290052718714
4.13,14.8875,1.88,15.76,2.0220034481788933,1.4324623646154317,68.57851653390377
2.18,4.452999999999999,0.27,5.18,14.53141002624948,10.020562175166912,6.626056882937612
4.1125,16.4125,1.85,17.29,2.100213453400296,1.482177020412895,63.56465979444658
4.1575,12.965,2.12,13.69,1.8070468059221405,1.1147641507230848,-108.62843025446996
2.9225,4.727,0.52,5.54,6.676100463922199,7.648711961749017,7.026529298177009
3.925,14.94,0.9,17.84,3.4621547532157915,4.894892434903495,25.028589539835757
4.75,14.85,3.98,15.12,1.247654255784918,2.2628305040631096,32.93334715245952
2.1775,3.81425,0.28,5.16,11.220553160809676,9.924584554705078,7.22779188133982
3.88,11.71,0.7,16.09,3.931657649182005,6.139277855053313,23.2859840169415
4.833333333333333,15.660000000000002,2.95,17.57,1.194201194728314,1.3431939299809974,93.78382569214895
2.06,2.78625,0.26,5.06,9.67711986223781,10.14768953546994,8.155723607876434
3.91,12.4225,0.48,15.79,7.151633571136485,7.739607294193829,19.522220523410287
2.1875,4.2505,0.49,5.79,5.320972461121309,8.027923656986411,9.54115683713896
3.86,14.9375,1.09,17.51,2.8169440230151195,3.909287765404006,27.061140604001835
2.9125,4.44825,0.4,5.46,8.688241808193261,8.648769829881175,6.889216207405168
4.3725000000000005,16.490000000000002,2.66,17.29,1.504191322919805,0.9921674258684101,-67.06768137002967
6.0,13.51,5.68,13.66,0.9611956816495174,2.873209403396614,30.561360588030453
13.0,2.493,2.29,30.401,0.5794840127037909,0.43648049102669884,623.5272734216178
13.0,4.171,3.95,5.488,0.6512771868667829,1.5239694506864119,10.302388216358016
15.0,3.813,2.09,55.263,0.7174733228095233,1.628659484958269,114.73077487049777
5.4273477292671775,2.848434309388562,0.88,5.477,2.5046228694450243,4.744068149017656,9.075353372663804
2.7136738646335887,2.848434309388562,0.44,5.856,4.832563228905287,8.351306621735265,10.195597074104445
10.484649022447956,2.2212250296583855,1.7,7.35,1.0379375597762583,1.2673685121674678,18.613785813348454
