u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
1.5599999999999998,0.5633333333333334,0.13,0.68,31.88575510060682,7.905479015872932,1.61915388873858
3.1775,3.69,1.84,4.39,1.779339325853626,3.917049005608655,16.575199541250186
1.5599999999999998,0.5433333333333333,0.18,0.96,14.731251978605432,8.181519696284083,2.172100821066764
1.9,0.54,1.16,0.64,2.9158636476035604,5.147548935140617,2.808811578834013
2.566666666666667,3.9333333333333336,1.3,4.2,2.832743127876559,4.656923646942632,7.511191910648008
1.5599999999999998,0.4766666666666666,0.56,0.58,5.0236277196711585,6.669836610783825,1.2829157393082051
2.1775,3.745,0.67,4.06,5.4890381882934465,6.182167079928558,5.628648708270453
1.6233333333333333,0.5720000000000001,0.17,1.0,16.31818533574024,8.192997011459244,2.229187384920123
1.5666666666666669,0.5843333333333334,0.1,0.85,37.33548887229885,8.209925713155364,2.4072768972114993
1.5566666666666666,0.5843333333333334,0.07,0.85,59.36701870371923,8.312544186968278,3.0540094156111275
1.5599999999999998,0.5579999999999999,0.17,0.8,18.51576110820791,7.959660776432777,1.75929140768619
2.563333333333333,4.293333333333333,1.11,4.61,3.258019017990617,5.0466680048718295,7.287835848279691
1.5533333333333337,0.5436666666666666,0.19,0.76,16.275028887164293,7.865915934153726,1.60708193417081
2.17,4.0465,0.32,4.74,11.4900793995,7.570835049362773,6.746901386323894
1.5666666666666669,0.5826666666666666,0.23,0.81,12.675105003139644,7.749286389523526,1.6264361159578606
1.5766666666666669,0.478,0.65,0.57,4.48569879514461,6.418545054457547,1.366300368404812
2.6333333333333333,3.616,1.47,3.8,2.66832825839853,4.285751159508043,6.81921730631993
1.5666666666666669,0.6386666666666666,0.48,0.88,5.11752583659357,7.040921026835988,2.083704136495401
1.49,0.4575,0.22,0.66,12.75282127395527,7.794115386728643,1.4136213716169557
3.1,4.0145,1.93,4.22,2.064879723343122,3.4692227320356057,8.882355820582424
1.5666666666666669,0.5446666666666667,0.13,1.09,21.905585532286455,8.533749027962104,2.7371480230535985
2.06,0.593,1.1,0.64,3.268679989536249,5.161442435358491,1.337703204775518
3.85,4.4285,3.11,4.79,1.3813754414682702,2.1285767314840625,26.993425044632723
1.64,0.5823333333333333,0.1,1.15,32.276683117014976,8.623346920494013,3.164604131775923
1.5599999999999998,0.6583333333333333,0.47,0.9,5.267358968714256,7.070921375993238,2.0876724691770567
2.0725,0.65575,0.14,0.99,25.510159206488257,7.9017225529924895,2.0964628605726285
1.85,0.452,1.09,0.51,3.161464776235545,5.272841987658305,1.656231346417946
28.00018033053748,3.372542584212134,4.54,3.73,0.8969826858645201,0.2390608470148618,17.39220122971271
15.0,0.4826666666666666,8.16,0.64,0.3680224492093827,0.13832034292393036,-0.7342510954171366
15.0,0.9263333333333332,9.63,1.15,0.356302565715436,0.07841609608827578,-0.6076804263428098
15.0,1.391,8.17,1.67,0.3859250855203011,0.1396860453209725,-1.4593083099999609
15.0,1.9943333333333333,7.68,2.36,0.404258783461519,0.1709553038849843,-2.71138640462365
17.5,2.478,12.65,2.87,0.3027127732951231,0.020631979118268046,-0.6171365255324393
3.75,0.014,0.55,0.015,8.395940887010124,5.691604612673361,0.01769170746669027
3.75,0.0155,0.73,0.017,5.436911505105911,5.304736918601332,0.02060486747215006
3.75,0.0205,0.73,0.031,3.3538139443417307,5.313057474072374,0.05108731199069437
4.25,0.0305,0.56,0.032,9.217143579218789,5.4803228430819555,0.036693934455706075
4.25,0.032,0.61,0.036,6.613265489413038,5.376426117446632,0.04355910855540844
4.25,0.0365,0.8,0.041,4.687843076991533,4.991269816264047,0.05041677353915538
4.25,0.0412499999999999,0.85,0.053,3.4008265344224067,4.900670171614548,0.07641371383075163
4.75,0.06875,1.18,0.072,3.803418428356459,4.156019671635889,0.08211317320240587
4.75,0.07425,1.07,0.082,3.494012368300583,4.342189974160852,0.10114753789433392
4.75,0.0815,0.99,0.091,3.740061038065954,4.481452437803819,0.11219918766513068
4.75,0.109,1.33,0.123,2.512415047002486,3.925142426372795,0.1694876583948621
3.0,0.045,0.57,0.057,5.252909248352316,5.9514953726063755,0.08326928470570673
3.0,0.0426666666666666,0.74,0.052,3.990648101805694,5.565753087266203,0.07912270901222829
3.75,0.037,1.17,0.042,2.7555455668379523,4.467284186126954,0.06238876980239636
4.333333333333333,0.0356666666666666,2.7,0.036,2.0063850757344786,2.3572059926968194,0.044924218554714776
3.5,0.02125,0.75,0.022,6.637578410976577,5.352230945880757,0.024744194985014106
3.5,0.02,1.15,0.021,3.6113543932907137,4.576676756735567,0.0258623604658132
3.5,0.01925,1.1,0.02,4.054827267846036,4.666967650591646,0.023527746941553896
3.5,0.01875,1.25,0.019,4.418502888206739,4.400423852667005,0.020746339035179816
3.0,0.0456666666666666,0.7,0.059,3.9285722676402535,5.657497182156324,0.09425198276598937
3.75,0.03775,0.8,0.039,6.31959788609588,5.160089831581504,0.04341486153372647
3.75,0.03025,1.1,0.031,4.574641618565765,4.588181511411425,0.03446138675392784
3.0,0.4803333333333333,0.99,0.523,3.6102895519762694,5.05739519670528,0.7278607314720036
3.0,0.87,1.49,0.929,2.4688599946843404,4.156109112968333,1.6164834025840722
3.5,1.2245,2.48,1.278,1.7047169871616714,2.715624781400479,3.2054824305819962
3.0,0.5299999999999999,1.16,0.606,2.6762963684092975,4.757998220772134,1.0854287856052744
3.5,0.745,2.0,0.785,1.9471028822830023,3.283032661776665,1.4776771957439159
3.0,0.9266666666666667,1.84,1.067,1.8769974838423913,3.6752442189496093,4.039957752760966
3.5,1.435,2.5,1.53,1.6206039521105755,2.7094854692473245,5.017976828339833
13.0,0.236,1.28,0.381,2.332154177278262,2.3412254965013712,0.5153466197518166
