dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
HIGH,HIGH_direct_poly_rank_1,67,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.2912155912031618,0.9872131876333075,0.23979535551068315,0.10478493421379817,0.0539032977091779,1.60835104699558,67,0.996750803858919,67,67,67
HIGH,HIGH_direct_poly_rank_2,67,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.29121559120316226,0.9872131876333073,0.23979535551068365,0.10478493421379838,0.0539032977091781,1.6083510469955833,67,0.996750803858919,67,67,67
HIGH,HIGH_direct_exp_rank_3,67,92.57997119758164,0.66028086853829,92.57997119758161,0.6612051648082505,0.6320202564319503,0.9397724713914605,0.3181177379772846,0.17210920556706602,0.1076881466136628,2.07393703407843,67,0.9942816574751151,67,67,67
HIGH,HIGH_direct_exp_rank_4,67,95.11177531533157,0.6414460604337979,95.11177531533154,0.6424216018096831,0.7202476972966879,0.9217837835536438,0.22830561001708724,0.1791037028396608,0.1536464938213485,0.690318892880275,67,0.9970547134037981,67,67,67
HIGH,HIGH_direct_exp_rank_2,67,93.76751804574918,0.651509644190319,93.76751804574914,0.6524578049094584,0.7019128214799059,0.92571529584424,0.3186249874631044,0.18276289017917144,0.1181330994289336,1.986183291783171,67,0.9942634067551314,67,67,67
HIGH,HIGH_direct_exp_rank_1,67,94.26269093606082,0.647819269941898,94.26269093606079,0.6487774713059014,0.7382159391361436,0.9178325360295424,0.35176647191973565,0.19411874094923226,0.126912044499648,2.2235535530159023,67,0.9930079700426989,67,67,67
HIGH,HIGH_direct_exp_rank_5,67,94.2626909360607,0.647819269941899,94.26269093606066,0.6487774713059025,0.7382159391361448,0.9178325360295421,0.3517664719197359,0.19411874094923237,0.1269120444996482,2.2235535530159054,67,0.9930079700426989,67,67,67
LOW_1,LOW_1_direct_poly_rank_1,163,1.398798350053711,0.9691670798944717,1.3987983500537111,0.9670983322660954,5.932702588483989,0.7727203856569377,0.008261462442273835,0.003932314685449047,0.0008879832157769,0.0611039882344759,163,0.9998178239973952,163,163,163
LOW_1,LOW_1_direct_poly_rank_4,163,1.5747060361043985,0.9609246011839018,1.5747060361043987,0.9583028210102436,5.975092866080632,0.7694608708690459,0.007992906170640695,0.004276968065767851,0.0009820533455085,0.0357729708183005,163,0.9998294755206418,163,163,163
LOW_1,LOW_1_direct_poly_rank_5,163,2.0018630012627296,0.9368500311402564,2.00186300126273,0.9326129576531037,5.858307941518058,0.7783847090891589,0.008497437979332147,0.0043675634112209935,0.0009859261660935,0.0398734543895365,163,0.9998072682301292,163,163,163
LOW_1,LOW_1_direct_poly_rank_3,163,2.5671368201429834,0.8961509647285245,2.567136820142984,0.8891831704134958,6.243527130960965,0.7482813837544003,0.010904986188785493,0.0047596704054615685,0.0014784731360642,0.0895679650438252,163,0.9996825849297104,163,163,163
LOW_1,LOW_1_direct_poly_rank_2,163,1.7476716039425197,0.9518690875856916,1.7476716039425197,0.9486397239520201,6.054264159382187,0.7633110072724336,0.012192697952786902,0.005435141237426755,0.0018134028781336,0.1032971147966109,163,0.9996031951852523,163,163,163
LOW_1,LOW_1_direct_exp_rank_2,163,22.134314618056557,-6.7203429408521105,22.134314618056557,-7.2383425689922944,11.775765872371831,0.10456584913257438,0.017963349268966006,0.009499083421152752,0.0033455035045392,0.0907153692662465,163,0.9991387049902736,163,163,163
LOW_1,LOW_1_direct_exp_rank_1,163,19.0558891052285,-4.722197831299204,19.0558891052285,-5.106131080309824,12.982500558359494,-0.088358639359289,0.018630247441566244,0.009924538483398198,0.0039168171021117,0.0893661122198474,163,0.999073565864212,163,163,163
LOW_1,LOW_1_direct_exp_rank_5,163,19.26908714186973,-4.850954440226729,19.26908714186973,-5.2435266675905154,8.901948094882295,0.4882881850867834,0.024936601023675304,0.010901719433036807,0.0028491916487277,0.1833399053620086,163,0.9983402150732668,163,163,163
