dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced
HIGH,HIGH_exp_d_rank_4,60,155.88627477061445,0.1223773777917159,155.88627477061442,0.1253962843366779,0.8946727519033926,0.7367358657461449,2.06961574682672,1.4345524444997126,0.8650263295118674,7.494988233314635,60,0.7609306980737462,methodologie_1,,,,exponential,6,7,u_r_mm + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.0670769064994123,-0.7609306980737462,8742.374217512832,13.0,12.0,12.0,1.0,9.7,10.0,12.7,13.0,8.0,8.0
HIGH,HIGH_exp_log_rank_3,63,141.39688576405558,0.2473452974515682,141.39688576405555,0.2498707453487478,0.9105672710723016,0.8800005179246232,2.021713737083219,1.2295113975476852,0.5925368223590491,8.876368516795463,63,0.7588177096305848,methodologie_1,,,,exponential,5,6,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,0.1867403951496912,-0.7588177096305848,8881.727107219109,12.0,13.0,13.0,4.0,10.3,11.0,12.299999999999999,12.0,9.000000000000002,11.0
HIGH,HIGH_poly_rank_5,65,116.7409995856431,0.4735342619414312,116.74099958564304,0.4751120308239227,0.5761510549671823,0.9456263446243994,1.9413602123365816,1.1492940106366014,0.5976805020303624,10.005526987353896,65,0.7841905626829789,methodologie_1,,,,polynomial,4,15,delta_peak_mm + u_p_x_tau_r + tau_r_div_tau_p + tau_r_div_u_p,0.5718918738460567,-0.7841905626829789,8654.129309398395,9.0,9.0,11.0,15.0,10.7,12.0,9.0,9.0,11.5,14.0
HIGH,HIGH_exp_d_rank_1,61,141.52179362778722,0.2658308225178086,141.52179362778722,0.2686889253474254,0.7396592475354234,0.8887082032982225,2.008813848471506,1.2341331381176053,0.5996450140166554,8.617394885078436,61,0.7724222677458294,methodologie_1,,,,exponential,6,7,u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,0.2240950909982208,-0.7724222677458294,8524.0603421956,11.0,11.0,10.0,11.0,10.9,13.0,11.0,11.0,10.950000000000001,13.0
HIGH,HIGH_poly_rank_4,64,111.88713641846716,0.5232748220892768,111.88713641846712,0.5242293205165474,0.7846812004303314,0.8950612375847453,2.1231323593589218,1.1991423109000694,0.5955336066476742,12.36998758927523,64,0.7464196127589002,methodologie_1,,,,polynomial,2,6,u_p_div_u_r + tau_r_div_tau_p,0.173765307398691,-0.7464196127589002,9649.037474896557,14.0,14.0,14.0,2.0,11.0,14.0,14.0,14.0,9.200000000000001,12.0
HIGH,HIGH_exp_d_rank_5,63,143.06755855095625,0.229145383479406,143.0675585509562,0.2320780883061745,1.2787999560521748,0.7061905851436588,2.413133854848652,1.2996706275386916,0.5951692747629755,13.4927268330958,63,0.6641158881206246,methodologie_1,,,,exponential,6,7,tau_peak_MPa_csds + u_r_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_r,0.1943401250748482,-0.6641158881206246,11113.688644661972,15.0,15.0,15.0,8.0,13.25,15.0,15.0,15.0,12.2,15.0
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663835,0.9806890259289834,1.1101061362663835,0.9793952028384686,3.508399688942544,0.9208210955369672,0.1042813577098428,0.0469428862643745,0.0106956435641546,0.7515660771365962,162,0.9711027307715264,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_sigma_n,0.0263890101537468,-0.9711027307715264,-73203.41339834734,1.0,1.0,1.0,3.0,1.5,1.0,1.0,1.0,1.8000000000000003,1.0
LOW_1,LOW_1_poly_rank_2,161,2.5706234773466163,0.8970106376253967,2.5706234773466163,0.8901312280276615,3.5698616397192904,0.918530244895126,0.1049221517993701,0.047834233659378,0.0139076139744433,0.7512809991207119,161,0.9707995648497102,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + u_r_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r,0.0423491411944621,-0.9707995648497102,-72554.02154091168,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,3.6000000000000005,5.0
LOW_1,LOW_1_poly_rank_5,161,2.161593912813084,0.9271778247459131,2.161593912813085,0.9223135012874504,3.16864518947926,0.9358139181185918,0.105418261177806,0.0479051812979102,0.0132647782766046,0.7513720176943516,161,0.970522771848159,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + u_r_mm + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.0303717971761405,-0.970522771848159,-72402.12727216787,3.0,3.0,3.0,4.0,3.25,3.0,2.9999999999999996,3.0,3.4000000000000004,4.0
LOW_1,LOW_1_poly_rank_3,159,1.0822245570403215,0.9819502685634222,1.0822245570403215,0.9807494149400592,3.0298934313609016,0.9417809198997218,0.1069546045863574,0.0489233734911625,0.0135224114614058,0.7515741336500472,159,0.969879199265432,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + sigma_n_div_tau_p,0.0196486182053713,-0.969879199265432,-71042.09695195185,4.0,4.0,5.0,2.0,3.6,4.0,4.0,4.0,3.25,2.0
