dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
LOW_1,LOW_1_direct_poly_rank_4,163,2.631385185670256,0.8908878067581459,2.6313851856702564,0.8835668786649437,6.468303845385767,0.7298306026054542,0.020041965358174412,0.00871886846738435,0.0012831628999023,0.0959083148884209,163,0.9989278441565199,163,163,163
LOW_1,LOW_1_direct_exp_rank_5,163,3.8835869814294446,0.7623321114049366,3.883586981429445,0.7463856853385943,8.972093118931719,0.48019210207302376,0.024457182808039744,0.011194561154382015,0.0031343105196727,0.1705582979639902,163,0.9984034219208451,163,163,163
LOW_1,LOW_1_direct_exp_rank_3,163,3.3110456746201655,0.8272433482424134,3.3110456746201655,0.8156521686724427,16.12310145945971,-0.6786204242015856,0.025271936450001226,0.01124240059212756,0.0030563281475222,0.1664891579316458,163,0.9982952749447249,163,163,163
LOW_1,LOW_1_direct_exp_rank_1,163,19.76135352999224,-5.153721116156056,19.76135352999224,-5.566607599861326,7.913903864606356,0.59557604708867,0.02685252516141886,0.012046762438327207,0.0040635489094847,0.1703379257668814,163,0.9980753685995049,163,163,163
LOW_1,LOW_1_direct_exp_rank_4,163,20.490256610976957,-5.616056868269528,20.490256610976957,-6.0599639620054,8.115752632687723,0.5746828140563761,0.02626576000219981,0.01218081871154845,0.0038946734488249,0.167948114156155,163,0.9981585613852902,163,163,163
LOW_1,LOW_1_direct_exp_rank_2,163,19.45565352796644,-4.964802688304904,19.45565352796644,-5.365013611335544,13.130890139731232,-0.11338063852613667,0.027774590320505513,0.012577336830573561,0.0039812697167044,0.1725134598379301,163,0.9979409228168735,163,163,163
LOW_2,LOW_2_direct_poly_rank_1,69,2.1000122278238478,0.9922964187342348,2.1000122278238478,0.9922187021031681,0.20442130797647873,0.9977316889425877,0.010551100344650389,0.00833562283535832,0.0068615265429675,0.0298191218965027,69,0.9998684912016171,69,69,69
LOW_2,LOW_2_direct_poly_rank_2,69,1.668211702115956,0.9951387120336902,1.6682117021159557,0.9950896695286068,0.21429041005175714,0.9975073818323393,0.011353025648631151,0.00868405021102153,0.0078760512084829,0.0337626907981941,69,0.9998477411515387,69,69,69
LOW_2,LOW_2_direct_poly_rank_4,69,2.1388172709348883,0.9920090873007411,2.1388172709348887,0.9919284719618864,0.21575750973560126,0.9974731344991438,0.012485233075374077,0.009636236281009826,0.0081692365920927,0.0385623728802731,69,0.9998158581036715,69,69,69
LOW_2,LOW_2_direct_poly_rank_5,69,1.5694337348578944,0.9956973602187944,1.569433734857895,0.9956539535671407,0.27090738329920727,0.9960162510023919,0.015043881989983781,0.01204742412348595,0.0102725820724287,0.0388643624241015,69,0.9997326506461209,69,69,69
LOW_2,LOW_2_direct_poly_rank_3,69,2.0738257816238854,0.9924873430200261,2.073825781623886,0.9924115525051083,0.4195781511816212,0.9904440027905654,0.03133803761048719,0.021594767661397965,0.0143664418340406,0.1505920157575564,69,0.9988398800431862,69,69,69
LOW_2,LOW_2_direct_exp_rank_2,69,4.279021134871983,0.9680156238430337,4.279021134871984,0.9676929534023732,0.6751021935032624,0.9752605908902866,0.034647224119959415,0.026097069309858646,0.0196452969699801,0.0927989127953524,69,0.9985819348188124,69,69,69
LOW_2,LOW_2_direct_exp_rank_3,69,4.837731255177702,0.9591179656330368,4.837731255177702,0.9587055322630829,0.63868275487478,0.97785780535887,0.03811484482101591,0.028675848647369242,0.0194481751504839,0.0990423024687995,69,0.998283880149914,69,69,69
LOW_2,LOW_2_direct_exp_rank_4,69,4.775702872049539,0.9601596065634442,4.775702872049539,0.9597576816597607,0.6520361934474279,0.9769222379531006,0.03853297517656677,0.02891312402259562,0.0192310175304236,0.0988993378805488,69,0.9982460210043829,69,69,69
LOW_2,LOW_2_direct_exp_rank_5,69,4.798253681544848,0.9597824665521234,4.798253681544847,0.9593767369178725,0.6647219647566207,0.9760155179849023,0.03860419550794623,0.029117210390077905,0.0213704682437325,0.0974327086106129,69,0.9982395312688606,69,69,69
LOW_2,LOW_2_direct_exp_rank_1,69,4.718550106932754,0.9611074728304543,4.718550106932754,0.9607151103588958,0.6927406535807834,0.9739509652945538,0.039370296599137135,0.0301157795663399,0.0199451943230388,0.0935109479762742,69,0.9981689648727124,69,69,69
