u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
1.5666666666666669,0.5446666666666667,0.13,1.09,21.905585532286455,8.457991132060432,2.7644346012459136
2.1775,3.81425,0.28,5.16,11.220553160809676,7.345958361931753,8.422083144001846
3.88,11.71,0.7,16.09,3.931657649182005,4.976889300186923,24.346914963799822
2.06,0.593,1.1,0.64,3.268679989536249,5.252640763038241,1.3310997243367597
3.85,4.4285,3.11,4.79,1.3813754414682702,1.7935996278327608,31.765773839278406
4.833333333333333,15.660000000000002,2.95,17.57,1.194201194728314,1.6173352440429032,68.29668575070117
1.64,0.5823333333333333,0.1,1.15,32.276683117014976,8.546972660595461,3.197454539683897
2.06,2.78625,0.26,5.06,9.67711986223781,7.461214605255679,9.673009726101892
3.91,12.4225,0.48,15.79,7.151633571136485,5.535233891173113,21.42046577572231
1.5599999999999998,0.6583333333333333,0.47,0.9,5.267358968714256,7.214745199251998,2.061522596050703
2.1875,4.2505,0.49,5.79,5.320972461121309,6.601604267105179,10.199506259841728
3.86,14.9375,1.09,17.51,2.8169440230151195,4.0769342281541014,26.786249702049115
2.0725,0.65575,0.14,0.99,25.510159206488257,8.247453964650159,2.014172087107015
2.9125,4.44825,0.4,5.46,8.688241808193261,6.703921297376729,7.4756569136449915
4.3725000000000005,16.490000000000002,2.66,17.29,1.504191322919805,1.8983871776173433,38.39872956824385
1.85,0.452,1.09,0.51,3.161464776235545,5.332476681661092,1.6495202212826945
28.00018033053748,3.372542584212134,4.54,3.73,0.8969826858645201,0.3291795252800307,8.432769577295796
6.0,13.51,5.68,13.66,0.9611956816495174,0.43951673859967644,-3.6538595573226567
15.0,0.4826666666666666,8.16,0.64,0.3680224492093827,0.10625999962962951,-0.5338081121404152
15.0,0.9263333333333332,9.63,1.15,0.356302565715436,0.05261294792796222,-0.46438145664629865
15.0,1.391,8.17,1.67,0.3859250855203011,0.10459165630385886,-1.0291589348945316
15.0,1.9943333333333333,7.68,2.36,0.404258783461519,0.130989984907756,-1.8026592600084976
17.5,2.478,12.65,2.87,0.3027127732951231,0.01108033732055904,-0.5446515870296749
3.75,0.014,0.55,0.015,8.395940887010124,6.388127682997178,0.01714554766943269
3.75,0.0155,0.73,0.017,5.436911505105911,5.865096111480643,0.020209439090781826
3.75,0.0205,0.73,0.031,3.3538139443417307,5.86421283163498,0.05012580618026027
4.25,0.0305,0.56,0.032,9.217143579218789,6.222823723949252,0.03550235763241486
4.25,0.032,0.61,0.036,6.613265489413038,6.076678779748901,0.042328890214960106
4.25,0.0365,0.8,0.041,4.687843076991533,5.552560541055846,0.04952778311073237
4.25,0.0412499999999999,0.85,0.053,3.4008265344224067,5.4216903070075615,0.07522805302447665
4.75,0.06875,1.18,0.072,3.803418428356459,4.537358312395346,0.08133632387840238
4.75,0.07425,1.07,0.082,3.494012368300583,4.779934254172908,0.10000651068797985
4.75,0.0815,0.99,0.091,3.740061038065954,4.964367495123786,0.11073797878512655
4.75,0.109,1.33,0.123,2.512415047002486,4.223351296590278,0.16825318171930495
3.0,0.045,0.57,0.057,5.252909248352316,6.530186483896402,0.0810991516651943
3.0,0.0426666666666666,0.74,0.052,3.990648101805694,6.024490720917824,0.07779834229100568
3.75,0.037,1.17,0.042,2.7555455668379523,4.758784743834747,0.06191941289938738
