Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_r_mm + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_p_div_u_p,"['u_r_mm', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_p_div_u_p']",base_ur | core_taup_over_ur | ratio,6,0.557742322231235,0.6748758273067844,0.6274088949319101,0.5435875732629717,0.06281667766947086,0.9350542263350624,0.37854683906850634,0.06289593985990234,0.08232768647223887,179.98616323183407,0.6910974203366244,64.31136569706759,0.5090728904322885,40.635207827130316,d,0.8140812458848873
u_r_mm + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_taup_over_ur | ratio,6,0.5529295391711639,0.6785379934514816,0.6370542733856208,0.5365054305038409,-0.30940301787963875,1.1052516973779132,0.4429570091899579,0.11336124905369432,0.0814027438363899,180.07684644519884,0.6610782468821753,67.36381690227647,0.526269758373334,39.91715061033645,d,0.811220626571785
tau_r_MPa + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['tau_r_MPa', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",base_taur | product | ratio,6,0.5828593933208539,0.6554316611519407,0.642038654467491,0.5328087452769869,-0.34868719089310374,1.1217088288850772,0.3986607682097742,0.10390856867510823,0.08570267604739412,179.6548843199618,0.6761790662372649,65.84600415210637,0.6149635197580243,35.986939776115854,d,0.8051185934746412
tau_r_MPa + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r,"['tau_r_MPa', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r']",base_taur | core_taup_over_ur | product | ratio,6,0.5823868607689471,0.6558027891724089,0.6454959685354253,0.5302294770376306,-0.7287764585085577,1.2699714031340896,0.3939923034028758,0.16279269490451115,0.08509571982195197,179.71450636884455,0.6485895727780451,68.59370899453639,0.6338743594871123,35.0920750908583,d,0.7693064549890319
u_r_mm + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_r_div_u_p,"['u_r_mm', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_ur | core_taup_over_ur | ratio,6,0.5510587126001121,0.6799562281238046,0.6115146288379782,0.5550608717253458,0.17338535463130234,0.8781648899909292,0.424278173917692,0.09184158106875476,0.0780542840894698,180.40475488000064,0.6215822499307337,71.1807753417538,0.48020469522197184,41.812886918838146,d,0.7645371787827042
u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_p_div_u_p + tau_r_div_u_r,"['u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_r', 'tau_p_div_u_p', 'tau_r_div_u_r']",core_taup_over_ur | ratio,6,0.5306751064567201,0.6952211527203278,0.6242702195984573,0.5458723391028073,0.38712995354410784,0.756151329003799,0.324031157458657,0.013971716660172615,0.07776789962283415,180.43277231478325,0.6348239691654336,69.92429503861655,0.5376194191820842,39.43608289751802,d,0.7354423762287448
u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_u_p,"['u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_r_div_u_p']",ratio,4,0.5233314687946948,0.7006391856161076,0.6104877751456803,0.5557939626056155,0.38475202549550913,0.757616837649915,0.38468835622980196,0.0491728794294509,0.07829128850806588,180.38156508068627,0.585149669285985,74.52855225559681,0.47472876211216186,42.03255483630082,d,0.7325765594579409
tau_r_MPa + u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['tau_r_MPa', 'u_r_x_tau_r', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_taur | product | ratio,6,0.7777380776542656,0.4784303427057963,0.5765008918565655,0.5795348119619217,0.677866559547385,0.548204286780051,0.6334282397055788,0.18514903598101254,0.23878679412191028,163.92623401421346,0.49014060512482904,82.62323168584021,0.6850844626526926,32.54550554196446,d,0.7283398213795172
u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",ratio,4,0.5149744839893046,0.706754326015486,0.622104351692397,0.5474433996516814,0.19882541313442714,0.8645459970800975,0.2810621862561153,0.05950615524705907,0.0762298094067444,180.58317169142967,0.5997998445860486,73.20076017456344,0.5473434580648349,39.019201572186006,d,0.6943803221894004
tau_peak_MPa_csds + u_r_x_tau_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,"['tau_peak_MPa_csds', 'u_r_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r']",base_taup | product | ratio,5,0.568789364478425,0.666393748446118,0.6434939874140686,0.5317245446071329,-0.5603767647303532,1.206533150800637,0.2233280840210672,0.12288464013435955,0.08174782143141368,180.04301969378574,0.6358906955139602,69.82209139825926,0.5609864871119297,38.42668513494513,d,0.6852662735110577
