u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
9.25116090215996,1.5,2.94,0.5553062574145964,11.123585210138952,0.3177979532615814,6.877525916109761,Model_148
10.484649022447956,1.7,1.47,1.1106125148291928,2.1678936482955633,0.14020497938010942,1.4627361258565017,Model_148
10.484649022447956,1.7,7.35,2.2212250296583855,22.381601780078316,0.701024896900547,19.043355421613924,Model_148
0.6167440601439975,0.1,0.08,0.0796743371481683,0.080483435478867,0.1297134503108495,4.733289564422334,Model_148
7.400928721727968,1.2,0.024,0.0202072594216368,0.0308724056592388,0.0032428362577712386,-0.9760683706698838,Model_148
6.784184661583972,1.1,0.025,0.0202072594216368,0.0339263343000876,0.0036850412020127702,-0.41499069462466753,Model_148
7.709300751799968,1.25,0.047,0.0398371685740841,0.0599181190992916,0.006096532164609927,-1.1689978625279895,Model_148
7.400928721727968,1.2,0.05,0.0398371685740841,0.0691035642872409,0.006755908870356748,-0.8912764634846422,Model_148
9.86790496230396,1.6,0.093,0.0796743371481683,0.1168485947456786,0.009424492874147658,-2.7027723209983776,Model_148
15.418601503599936,2.5,0.1,0.0796743371481683,0.1382071285744905,0.006485672515542476,-5.526523207576217,Model_148
11.101393082591954,1.8,0.233,0.1991858428704208,0.2936108391225939,0.020988356890574957,-3.051308688462216,Model_148
24.669762405759897,4.0,0.251,0.1991858428704208,0.3486439411004653,0.01017439875875726,-5.135660322723998,Model_148
6.96920787962717,1.13,0.045,0.0153092991217785,0.1282508091124622,0.0064569748495445015,-0.521421557415831,Model_148
10.731346646505555,1.74,0.033,0.0153092991217785,0.0767360582718792,0.003075103347886519,-3.491462102715923,Model_148
13.136648481067144,2.13,0.035,0.0153092991217785,0.084918211890545,0.002664302089718154,-4.829351917613238,Model_148
21.58604210503991,3.5,0.026,0.0153092991217785,0.0497004643595224,0.0012044820386007456,-6.252847594444038,Model_148
6.96920787962717,1.13,0.055,0.0153092991217785,0.1748236568427627,0.007891858149443279,-0.48960211197904524,Model_148
7.524277533756768,1.22,0.039,0.0153092991217785,0.101798731133,0.0051832218874212415,-1.0352376858932058,Model_148
8.942788872087963,1.45,0.034,0.0153092991217785,0.0808043277475788,0.003801945957386969,-2.2192615848057606,Model_148
13.383346105124744,2.17,0.028,0.0153092991217785,0.057144907312032,0.0020921524243685406,-4.966081790022388,Model_148
3.700464360863984,0.6,0.062,0.0153092991217785,0.2089408325663659,0.016754653998484734,2.808178590062318,Model_148
4.317208421007981,0.7,0.05,0.0153092991217785,0.1511865819416263,0.01158155806346871,2.1251146096817326,Model_148
5.550696541295977,0.9,0.034,0.0153092991217785,0.0808043132698056,0.006125357375790117,0.8043879178306481,Model_148
11.101393082591954,1.8,0.027,0.0153092991217785,0.0533920928536075,0.0024321271933284284,-3.7456544754415706,Model_148
6.96920787962717,1.13,0.043,0.0153092991217785,0.1192948488319123,0.006169998189564745,-0.5277881697048077,Model_148
8.449393623972766,1.37,0.041,0.0153092991217785,0.110474685629328,0.004852419217832874,-1.805577224835048,Model_148
10.299625804404757,1.67,0.032,0.0153092991217785,0.0727151531655665,0.003106908989481426,-3.2095434109275836,Model_148
17.947252150190327,2.91,0.03,0.0153092991217785,0.0648230709457182,0.0016715650813253803,-6.277463637434543,Model_148
5.550696541295977,0.9,0.037,0.0153092991217785,0.0932763980537016,0.006665830085418655,0.8126390173080704,Model_148
6.475812631511974,1.05,0.032,0.0153092991217785,0.0727151532900571,0.004941464773746648,-0.10463158955117802,Model_148
7.09255669165597,1.15,0.028,0.0153092991217785,0.0571449073080459,0.003947800661634551,-0.6875924188228648,Model_148
8.634416842015963,1.4,0.024,0.0153092991217785,0.0425135141995001,0.0027795739352324904,-2.011369225341692,Model_148
4.625580451079981,0.75,0.028,0.0153092991217785,0.0571449073061767,0.006053294347839644,1.7492105506154285,Model_148
7.09255669165597,1.15,0.026,0.0153092991217785,0.0497004644407819,0.0036658149000892257,-0.6940144496018146,Model_148
6.784184661583972,1.1,0.024,0.0153092991217785,0.0425135132532064,0.0035376395539322594,-0.41813924560041116,Model_148
7.400928721727968,1.2,0.022,0.0153092991217785,0.0356134086242683,0.0029725999029569686,-0.9825966952359497,Model_148
