u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
1.7885577744175924,0.29,3.214,1.959240530267265,5.94873324311999,1.7969785745649585,2.21610344514556,Model_148
2.7136738646335887,0.44,3.179,1.959240530267265,5.822995088811631,1.1714745981198598,3.674056112743095,Model_148
2.7136738646335887,0.44,5.856,2.848434309388562,13.139359297289314,2.1579601278986784,5.2050346030623444,Model_148
2.590325052604789,0.42,4.293,1.959240530267265,10.103502878345669,1.6573209588823723,3.8712372195105083,Model_148
1.6652089623887931,0.27,1.816,0.6555920235894309,4.99596556846492,1.090553822983809,0.5504674938756979,Model_148
3.392092330791986,0.55,3.752,1.3488617496840016,10.348266553301816,1.106101967196153,5.679099134194239,Model_148
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.0041481280463990435,-0.9542045935886758,Model_148
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,0.010620288744200805,-4.111256745253911,Model_148
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.004143624107152137,-3.681479822026157,Model_148
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.011890399611827873,1.809213159483786,Model_148
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.007305290470803338,0.7618726453869389,Model_148
11.533113924692753,1.87,0.046,0.0153092991217785,0.1327773504888432,0.0039885151833549985,-3.942272011617078,Model_148
13.383346105124744,2.17,0.042,0.0153092991217785,0.1148672965647978,0.003138228636552811,-4.921299790359878,Model_148
8.942788872087963,1.45,1.14,0.7935883525311068,1.844695714389715,0.12747701151238658,1.4518159889691944,Model_148
11.101393082591954,1.8,3.8,2.3726672172613705,6.873786646011853,0.34229938276474176,8.467677239313517,Model_148
6.784184661583972,1.1,1.23,0.5909609098097346,2.7859609573962865,0.1813040271390283,3.208854234088445,Model_148
4.625580451079981,0.75,0.94,0.7727950359050375,1.247954429578691,0.2032177388203309,3.665075128216757,Model_148
8.017672781871967,1.3,3.7,1.9806931592524069,7.687433215751687,0.4614805443751377,9.526483906875455,Model_148
