u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
4.496666666666667,14.159999999999998,3.33,14.77,1.2931877819034847,6.734436002743887,38.900620864693586
1.5599999999999998,0.5633333333333334,0.13,0.68,31.88575510060682,11.105327006636088,1.1532488169738049
3.1775,3.69,1.84,4.39,1.779339325853626,8.568880243131359,16.35302540293143
4.3774999999999995,14.875,2.23,15.49,1.8301286904573817,6.891505920328017,22.728747031023538
1.5599999999999998,0.5433333333333333,0.18,0.96,14.731251978605432,11.105327006636088,1.6938162204464067
2.175,4.25,0.4,5.29,7.755705088302538,10.103659133513421,7.174666619128883
3.6125,14.965,0.99,15.85,4.185634509215309,7.940716036413081,18.47665684569683
1.9,0.54,1.16,0.64,2.9158636476035604,10.5459073927435,2.6573721829527552
2.566666666666667,3.9333333333333336,1.3,4.2,2.832743127876559,9.489574383692094,7.289608100354742
31.453947067343865,13.490170336848536,5.1,14.28,0.9263059984631752,15.32526146407616,15.266894109874567
1.5599999999999998,0.4766666666666666,0.56,0.58,5.0236277196711585,11.105327006636088,1.1119255838225013
2.1775,3.745,0.67,4.06,5.4890381882934465,10.099680631492717,5.240187661802742
3.9,13.5925,1.32,14.36,3.032176279008363,7.538106490064326,17.766165870575797
1.6233333333333333,0.5720000000000001,0.17,1.0,16.31818533574024,11.000062186273974,1.7497599678939642
2.1825,4.11975,0.32,5.06,10.626543938716322,10.091725894299936,6.622567500931044
3.895,13.0025,1.07,14.3,3.3651116062820727,7.545023010586659,18.14915491657893
1.5666666666666669,0.5843333333333334,0.1,0.85,37.33548887229885,11.094223662828579,1.738815787427666
2.175,4.409,0.24,6.09,13.515323404054092,10.103659133513421,8.657795143888622
3.8625,15.2325,0.5,16.89,8.601598077321363,7.590054066562154,19.224427347835892
1.5566666666666666,0.5843333333333334,0.07,0.85,59.36701870371923,11.110880693516393,2.1589534018711296
2.1675,4.43275,0.23,5.85,14.978792929839672,10.11559917327278,8.203328064573071
3.8625,15.795,0.75,16.87,5.80409010742513,7.590054066562154,18.80060083019003
1.5599999999999998,0.5579999999999999,0.17,0.8,18.51576110820791,11.105327006636088,1.3198525014962832
2.563333333333333,4.293333333333333,1.11,4.61,3.258019017990617,9.49472238862581,7.054998231512059
4.553333333333334,16.513333333333332,3.93,16.61,1.4757256498343354,6.660347722639536,23.749076854893104
1.5533333333333337,0.5436666666666666,0.19,0.76,16.275028887164293,11.116435723714407,1.2129462703633727
2.17,4.0465,0.32,4.74,11.4900793995,10.111618404403453,5.988510002640892
4.13,14.8875,1.88,15.76,2.0220034481788933,7.223213830522439,23.384136343385926
1.5666666666666669,0.5826666666666666,0.23,0.81,12.675105003139644,11.094223662828579,1.261133753697202
2.18,4.452999999999999,0.27,5.18,14.53141002624948,10.095702885088222,6.607247774421375
4.1125,16.4125,1.85,17.29,2.100213453400296,7.246948258795996,24.732017073681295
1.5766666666666669,0.478,0.65,0.57,4.48569879514461,11.077578722000101,1.2078575200530544
2.6333333333333333,3.616,1.47,3.8,2.66832825839853,9.386896381735664,6.615232069067731
4.1575,12.965,2.12,13.69,1.8070468059221405,7.185991677811489,22.246590682887064
1.5666666666666669,0.6386666666666666,0.48,0.88,5.11752583659357,11.094223662828579,1.7957651130500394
2.9225,4.727,0.52,5.54,6.676100463922199,8.947750487027077,6.865410938851103
3.925,14.94,0.9,17.84,3.4621547532157915,7.503569224425168,24.155456490413638
1.49,0.4575,0.22,0.66,12.75282127395527,11.2222365278404,1.0709242486145851
3.1,4.0145,1.93,4.22,2.064879723343122,8.683195526324981,8.635430979365704
4.75,14.85,3.98,15.12,1.247654255784918,6.4062295276284695,32.666773860006145
1.5666666666666669,0.5446666666666667,0.13,1.09,21.905585532286455,11.094223662828579,2.134445343142028
2.1775,3.81425,0.28,5.16,11.220553160809676,10.099680631492717,7.181762947244195
3.88,11.71,0.7,16.09,3.931657649182005,7.565790706942664,22.78674359921546
2.06,0.593,1.1,0.64,3.268679989536249,10.28748704758712,1.2718362151022808
3.85,4.4285,3.11,4.79,1.3813754414682702,7.607407706205186,24.949890994097757
4.833333333333333,15.660000000000002,2.95,17.57,1.194201194728314,6.29996280994175,56.05991290101897
1.64,0.5823333333333333,0.1,1.15,32.276683117014976,10.972441516819867,2.471274794315315
2.06,2.78625,0.26,5.06,9.67711986223781,10.28748704758712,8.1107921664167
3.91,12.4225,0.48,15.79,7.151633571136485,7.524282516414161,19.622889343134343
1.5599999999999998,0.6583333333333333,0.47,0.9,5.267358968714256,11.105327006636088,1.7921040606967424
2.1875,4.2505,0.49,5.79,5.320972461121309,10.083774179571991,9.169703597472706
3.86,14.9375,1.09,17.51,2.8169440230151195,7.593523283258344,25.521200230672914
2.0725,0.65575,0.14,0.99,25.510159206488257,10.267428301917741,1.6855495028707705
2.9125,4.44825,0.4,5.46,8.688241808193261,8.962768334286634,6.835442365763363
4.3725000000000005,16.490000000000002,2.66,17.29,1.504191322919805,6.89813379545871,33.24329627032871
1.85,0.452,1.09,0.51,3.161464776235545,10.627298468219987,1.5559377578957647
28.00018033053748,3.372542584212134,4.54,3.73,0.8969826858645201,9.31759374196439,4.176643921632985
6.0,13.51,5.68,13.66,0.9611956816495174,4.90038398664997,30.561076654268195
15.0,0.4826666666666666,8.16,0.64,0.3680224492093827,1e-06,-0.20246806785140306
15.0,0.9263333333333332,9.63,1.15,0.356302565715436,1e-06,-0.2720312212009637
15.0,1.391,8.17,1.67,0.3859250855203011,1e-06,-0.39635285023111927
15.0,1.9943333333333333,7.68,2.36,0.404258783461519,1e-06,-0.5633955618981659
17.5,2.478,12.65,2.87,0.3027127732951231,1e-06,-0.4714528943763326
3.75,0.014,0.55,0.015,8.395940887010124,7.74691687793708,0.0165687854750814
3.75,0.0155,0.73,0.017,5.436911505105911,7.74691687793708,0.019652131771823376
3.75,0.0205,0.73,0.031,3.3538139443417307,7.74691687793708,0.048742313802790344
4.25,0.0305,0.56,0.032,9.217143579218789,7.061460878613239,0.03468366775285393
4.25,0.032,0.61,0.036,6.613265489413038,7.061460878613239,0.04133949878424035
4.25,0.0365,0.8,0.041,4.687843076991533,7.061460878613239,0.04847082339321367
4.25,0.0412499999999999,0.85,0.053,3.4008265344224067,7.061460878613239,0.0736851866151329
4.75,0.06875,1.18,0.072,3.803418428356459,6.4062295276284695,0.08014907405342206
4.75,0.07425,1.07,0.082,3.494012368300583,6.4062295276284695,0.09847339014860418
4.75,0.0815,0.99,0.091,3.740061038065954,6.4062295276284695,0.10897814652446194
4.75,0.109,1.33,0.123,2.512415047002486,6.4062295276284695,0.16590694128140585
3.0,0.045,0.57,0.057,5.252909248352316,8.831772092558596,0.07733061790474699
3.0,0.0426666666666666,0.74,0.052,3.990648101805694,8.831772092558596,0.07507870524297211
3.75,0.037,1.17,0.042,2.7555455668379523,7.74691687793708,0.06082761832229464
4.333333333333333,0.0356666666666666,2.7,0.036,2.0063850757344786,6.950156719536677,0.04318070647026735
3.5,0.02125,0.75,0.022,6.637578410976577,8.100979120726151,0.02359797925781282
3.5,0.02,1.15,0.021,3.6113543932907137,8.100979120726151,0.02518163148074627
3.5,0.01925,1.1,0.02,4.054827267846036,8.100979120726151,0.022874992051576788
3.5,0.01875,1.25,0.019,4.418502888206739,8.100979120726151,0.020245791249856645
3.0,0.0456666666666666,0.7,0.059,3.9285722676402535,8.831772092558596,0.08907451191876885
3.75,0.03775,0.8,0.039,6.31959788609588,7.74691687793708,0.041628179419202396
3.75,0.03025,1.1,0.031,4.574641618565765,7.74691687793708,0.03353001222580721
3.0,0.4803333333333333,0.99,0.523,3.6102895519762694,8.831772092558596,0.7030817318378879
