u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
1.64,0.5823333333333333,0.1,1.15,32.276683117014976,16.202759904711918,1.8484009801383914
1.5599999999999998,0.6583333333333333,0.47,0.9,5.267358968714256,16.93662546352531,1.7511304726972938
2.0725,0.65575,0.14,0.99,25.510159206488257,12.557363290822629,1.4825579517156389
1.85,0.452,1.09,0.51,3.161464776235545,14.36602408765956,1.5556666144460531
28.00018033053748,3.372542584212134,4.54,3.73,0.8969826858645201,6.528784681936891,4.176643921634245
15.0,0.4826666666666666,8.16,0.64,0.3680224492093827,4.122253696163689,2.8710373665395212
15.0,0.9263333333333332,9.63,1.15,0.356302565715436,4.122253696163689,6.468588952232782
15.0,1.391,8.17,1.67,0.3859250855203011,4.122253696163689,5.640451161695314
15.0,1.9943333333333333,7.68,2.36,0.404258783461519,4.122253696163689,6.7245305317184645
17.5,2.478,12.65,2.87,0.3027127732951231,1.5070523312226172,17.03093226240559
3.75,0.014,0.55,0.015,8.395940887010124,2.9139084363642596,0.027691225222702197
3.75,0.0155,0.73,0.017,5.436911505105911,2.9139084363642596,0.028441381385461765
3.75,0.0205,0.73,0.031,3.3538139443417307,2.9139084363642596,0.07054190113169553
4.25,0.0305,0.56,0.032,9.217143579218789,1.1978256007911128,2.809551059663491
4.25,0.032,0.61,0.036,6.613265489413038,1.1978256007911128,3.1060248415280722
4.25,0.0365,0.8,0.041,4.687843076991533,1.1978256007911128,2.8356894862317406
4.25,0.0412499999999999,0.85,0.053,3.4008265344224067,1.1978256007911128,4.06881097455858
4.75,0.06875,1.18,0.072,3.803418428356459,1e-06,-0.0324839301797822
4.75,0.07425,1.07,0.082,3.494012368300583,1e-06,-0.047092340329023895
4.75,0.0815,0.99,0.091,3.740061038065954,1e-06,-0.05908651953030654
4.75,0.109,1.33,0.123,2.512415047002486,1e-06,-0.054259326387055884
3.0,0.045,0.57,0.057,5.252909248352316,6.418641762750532,0.08145577613749158
3.0,0.0426666666666666,0.74,0.052,3.990648101805694,6.418641762750532,0.07699174850607633
3.75,0.037,1.17,0.042,2.7555455668379523,2.9139084363642596,0.07214646330874568
4.333333333333333,0.0356666666666666,2.7,0.036,2.0063850757344786,0.9553333622895721,-0.06089249148791167
3.5,0.02125,0.75,0.022,6.637578410976577,3.9510969728797605,0.027601592094697223
3.5,0.02,1.15,0.021,3.6113543932907137,3.9510969728797605,0.026634088165934974
