No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
85.0,0.06,7.5,185.0,0.46,20.0,15.2,30.0,2,4,4.44,5,14.37,13.83,13.9,13.67,15.2,3.8600000000000003,13.942499999999999,0,0,0
86.0,0.06,5.2,185.0,1.14,0.5,0.47,30.0,1.7,2,-,-,0.45,0.441,-,-,0.47,1.85,0.4455,0,0,0
87.0,0.06,4.8,185.0,1.53,5.0,3.84,30.0,1,2.87,3,,3.7,3.5,3.564,-,3.84,2.29,3.5879999999999996,0,0,0
88.0,0.06,5.5,185.0,5.05,20.0,14.16,30.0,5.1,-,-,-,14.16,-,-,-,14.16,5.1,14.16,0,0,0
89.0,0.06,8.6,185.0,0.31,0.5,0.64,30.0,1,1.72,2,-,0.441,0.42,0.441,-,0.64,1.5733333333333333,0.434,0,0,0
90.0,0.06,5.9,185.0,0.44,5.0,4.09,30.0,1,2,3.01,-,3.92,3.904,3.82,-,4.09,2.0033333333333334,3.8813333333333335,0,0,0
91.0,0.06,5.9,185.0,2.56,20.0,14.35,30.0,3,4,4.5,5,13.99,13.64,13.65,13.5,14.35,4.125,13.695,0,0,0
92.0,0.06,11.4,185.0,0.1,0.5,0.84,30.0,1,1.7,2,,0.592,0.59,0.554,,0.84,1.5666666666666667,0.5786666666666667,0,0,0
93.0,0.06,8.5,185.0,0.29,5.0,4.72,30.0,1,2,2.7,3,4.319,4.276,4.38,4.281,4.72,2.175,4.314,0,0,0
94.0,0.06,9.5,185.0,2.24,20.0,16.29,30.0,3,4,4.5,5,15.49,15.11,15.22,14.92,16.29,4.125,15.185,0,0,0
95.0,0.07,13.4,185.0,0.15,0.5,1.04,30.0,1,1.7,2,,0.554,0.5,0.491,,1.04,1.5666666666666667,0.515,0,0,0
96.0,0.07,12.1,185.0,0.32,5.0,5.75,30.0,1,2,2.9,3,4.391,4.278,3.8,3.574,5.75,2.225,4.01075,0,0,0
97.0,0.07,10.6,185.0,0.98,20.0,16.9,30.0,2,4,4.7,5,15.28,13.59,13.02,12.73,16.9,3.925,13.655,0,0,0
98.0,0.05,15.5,230.0,0.12,0.5,1.33,29.0,1,1.7,2,,0.608,0.57,0.529,,1.33,1.5666666666666667,0.569,0,0,0
99.0,0.05,11.2,230.0,0.38,5.0,5.29,29.0,1,2,2.71,3,4.13,3.81,3.79,3.492,5.29,2.1775,3.8055,0,0,0
100.0,0.05,9.5,230.0,1.12,20.0,15.69,29.0,2,4,4.46,5,14.29,14.34,14.37,13.81,15.69,3.865,14.2025,0,0,0
101.0,0.05,14.7,230.0,0.11,0.5,1.19,29.0,1,1.68,2,,0.608,0.51,0.423,,1.19,1.5599999999999998,0.5136666666666666,0,0,0
102.0,0.05,11.5,230.0,0.33,5.0,5.38,29.0,1,2,2.7,3,4.34,4.021,4.07,4.18,5.38,2.175,4.15275,0,0,0
103.0,0.05,8.7,230.0,0.94,20.0,15.17,29.0,4,5,4.45,5,14.29,13.81,14.33,14.5,15.17,4.6125,14.2325,0,0,0
104.0,0.06,7.8,230.0,0.46,0.5,0.57,29.0,1,1.83,2,,0.423,0.4,0.423,,0.57,1.61,0.41533333333333333,0,0,0
105.0,0.06,2.9,230.0,0.38,5.0,3.22,29.0,1,2,2.69,3,2.99,2.778,2.75,2.752,3.22,2.1725,2.8175,0,0,0
106.0,0.06,0.9,230.0,6.69,20.0,11.06,29.0,7,-,-,-,11.03,-,-,-,11.06,7.0,11.03,0,0,0
107.0,0.06,12.2,230.0,0.15,0.5,0.88,29.0,1,1.67,2,,0.555,0.5,0.476,,0.88,1.5566666666666666,0.5103333333333334,0,0,0
108.0,0.06,10.6,230.0,0.24,5.0,5.1,29.0,1,2,2.7,3,4.18,3.81,3.47,3.333,5.1,2.175,3.69825,0,0,0
109.0,0.06,8.1,230.0,0.47,20.0,14.84,29.0,2,4,4.43,5,13.86,12.92,13.16,13.2,14.84,3.8575,13.285,0,0,0
110.0,0.07,14.2,230.0,0.15,0.5,1.23,29.0,1,2,2.67,3,0.53,0.68,0.67,0.61,1.23,2.1675,0.6225,0,0,0
111.0,0.07,12.8,230.0,0.25,5.0,6.22,29.0,1,2,2.66,3,4.59,5.06,4.51,4.03,6.22,2.165,4.547499999999999,0,0,0
112.0,0.07,11.8,230.0,0.46,20.0,18.37,29.0,3,4,4.43,5,16.55,16.13,16.6,15.73,18.37,4.1075,16.2525,0,0,0
113.0,0.06,9.5,230.0,0.21,0.5,0.72,29.0,1,1.68,2,,0.6,0.52,0.48,,0.72,1.5599999999999998,0.5333333333333333,0,0,0
114.0,0.06,7.4,230.0,0.46,5.0,4.54,29.0,1,2,2.86,3,4.18,3.86,3.52,3.46,4.54,2.215,3.755,0,0,0
115.0,0.06,5.2,230.0,3.02,20.0,14.29,29.0,4,5.52,5,-,13.22,13.4,13.06,-,14.29,4.84,13.226666666666667,0,0,0
116.0,0.06,13.8,230.0,0.1,0.5,1.16,29.0,1,1.66,2,-,0.596,0.55,0.546,-,1.16,1.5533333333333335,0.5640000000000001,0,0,0
117.0,0.06,9.0,230.0,0.28,5.0,4.98,29.0,1,2,2.64,3,4.159,3.816,3.66,3.6,4.98,2.16,3.80875,0,0,0
118.0,0.06,6.2,230.0,0.84,20.0,14.83,29.0,2,4,4.52,5,13.44,12.05,13.69,12.75,14.83,3.88,12.9825,0,0,0
119.0,0.06,13.0,230.0,0.05,0.5,1.06,29.0,1,1.66,2,,0.503,0.48,0.398,,1.06,1.5533333333333335,0.4603333333333333,0,0,0
120.0,0.06,10.2,230.0,0.24,5.0,5.34,29.0,1,2,2.67,3,3.941,3.55,3.52,3.525,5.34,2.1675,3.634,0,0,0
121.0,0.06,7.7,230.0,0.58,20.0,15.72,29.0,2,4,4.39,5,13.18,12.26,12.92,11.72,15.72,3.8475,12.52,0,0,0
122.0,0.06,15.8,173.0,0.16,0.5,1.46,31.0,1,2,2.36,-,0.596,0.47,0.48,-,1.46,1.7866666666666664,0.5153333333333333,0,0,0
123.0,0.06,12.0,173.0,0.34,5.0,5.86,31.0,1,2,2.76,3,4.212,3.755,3.47,3.378,5.86,2.19,3.70375,0,0,0
