sample_id,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
203,8.16,0.64,15.0,0.4826666666666666,0,0,0
204,9.63,1.15,15.0,0.9263333333333332,0,0,0
205,8.17,1.67,15.0,1.391,0,0,0
206,7.68,2.36,15.0,1.9943333333333333,0,0,0
207,12.65,2.87,17.5,2.478,0,0,0
208,0.47,0.0113,3.75,0.01175,0,0,0
209,0.55,0.015,3.75,0.014,0,0,0
210,0.73,0.017,3.75,0.0155,0,0,0
211,0.73,0.031,3.75,0.0205,0,0,0
212,0.56,0.032,4.25,0.0305,0,0,0
213,0.61,0.036,4.25,0.032,0,0,0
214,0.8,0.041,4.25,0.0365,0,0,0
215,0.85,0.053,4.25,0.0412499999999999,0,0,0
216,1.18,0.072,4.75,0.06875,0,0,0
217,1.07,0.082,4.75,0.07425,0,0,0
218,0.99,0.091,4.75,0.0815,0,0,0
219,1.33,0.123,4.75,0.109,0,0,0
220,0.57,0.057,3.0,0.045,0,0,0
221,0.74,0.052,3.0,0.0426666666666666,0,0,0
222,1.17,0.042,3.75,0.037,0,0,0
223,2.7,0.036,4.333333333333333,0.0356666666666666,0,0,0
224,0.75,0.022,3.5,0.02125,0,0,0
225,1.15,0.021,3.5,0.02,0,0,0
226,1.1,0.02,3.5,0.01925,0,0,0
227,1.25,0.019,3.5,0.01875,0,0,0
228,0.7,0.059,3.0,0.0456666666666666,0,0,0
229,0.8,0.039,3.75,0.03775,0,0,0
230,1.1,0.031,3.75,0.03025,0,0,0
231,1.9,0.025,3.75,0.026,0,0,0
232,0.6,0.103,3.0,0.1169999999999999,0,0,0
233,1.16,0.413,3.0,0.429,0,0,0
234,0.99,0.523,3.0,0.4803333333333333,0,0,0
235,1.49,0.929,3.0,0.87,0,0,0
236,2.48,1.278,3.5,1.2245,0,0,0
237,0.84,0.191,2.5,0.21,0,0,0
238,1.16,0.606,3.0,0.5299999999999999,0,0,0
239,2.0,0.785,3.5,0.745,0,0,0
240,1.84,1.067,3.0,0.9266666666666667,0,0,0
241,2.5,1.53,3.5,1.435,0,0,0
242,1.28,0.381,13.0,0.236,0,0,0
243,1.94,1.479,13.0,1.139,0,0,0
244,2.29,30.401,13.0,2.493,0,0,0
245,3.95,5.488,13.0,4.171,0,0,0
246,0.34,0.306,13.0,0.104,0,0,0
247,0.55,1.422,13.0,0.768,0,0,0
248,1.07,2.417,13.0,1.547,0,0,0
249,1.08,4.482,13.0,3.316,0,0,0
250,0.1,0.367,15.0,0.136,0,0,0
251,0.67,1.297,15.0,0.843,0,0,0
252,0.78,3.232,15.0,2.23,0,0,0
253,2.08,4.233,15.0,3.386,0,0,0
254,0.42,0.464,15.0,0.223,0,0,0
255,1.34,1.532,15.0,0.812,0,0,0
256,1.56,2.845,15.0,1.821,0,0,0
257,1.9,4.37,15.0,3.015,0,0,0
258,2.09,55.263,15.0,3.813,0,0,0
259,0.65,2.088,4.008836390935984,768.6251311048501,0,1,1
260,0.67,3.886,4.132185202964783,3112.17822692454,0,1,1
261,0.67,2.257,4.132185202964783,1574.9279647148398,0,1,1
262,0.48,3.4,2.9603714886911874,1380.4308032101856,0,1,1
263,0.2,4.0,1.233488120287995,2557.42969857887,0,1,1
264,0.31,3.9,1.911906586446392,2593.756824979138,0,1,1
265,0.35,4.3,2.1586042105039907,2557.42969857887,0,1,1
266,0.31,3.3,1.911906586446392,2964.293514261872,0,1,1
267,0.35,3.5,2.1586042105039907,1889.010572813938,0,1,1
268,0.28,1.707,1.726883368403193,632.0919993646639,0,1,1
269,0.5,2.2,3.083720300719987,777.400504965736,0,1,1
270,0.52,2.1,3.207069112748787,777.400504965736,0,1,1
271,0.53,5.5,3.2687435187631864,2702.738204179942,0,1,1
272,0.31,4.6,1.911906586446392,1780.029193613134,0,1,1
273,0.24,5.0,1.4801857443455937,2259.547262096672,0,1,1
274,0.37,2.1,2.2819530225327904,741.073378565468,0,1,1
275,0.74,4.9,4.563906045065581,2259.547262096672,0,1,1
276,0.38,5.7,2.3436274285471903,1551.3695887375814,0,1,1
277,0.65,5.6,4.008836390935984,1551.3695887375814,0,1,1
278,0.45,4.8,2.7753482706479886,1477.1736518849143,0,1,1
279,0.62,2.4,3.823813172892784,755.4495388635178,0,1,1
280,0.38,2.9,2.3436274285471903,755.4495388635178,0,1,1
281,0.23,2.8,1.4185113383311942,755.4495388635178,0,1,1
282,0.56,3.0,3.453766736806386,755.4495388635178,0,1,1
283,0.3,2.4,1.850232180431992,1787.4475696324305,0,1,1
284,0.27,2.655,1.6652089623887931,1.3036485066778338,0,1,1
285,0.5,2.417,3.083720300719987,0.6555920235894309,0,1,1
286,0.88,5.477,5.4273477292671775,2.848434309388562,0,1,1
287,0.29,3.214,1.7885577744175924,1.959240530267265,0,1,1
288,0.44,3.179,2.7136738646335887,1.959240530267265,0,1,1
289,0.44,5.856,2.7136738646335887,2.848434309388562,0,1,1
290,0.39,5.976,2.40530183456159,288.6112011893701,0,1,1
291,0.42,4.293,2.590325052604789,1.959240530267265,0,1,1
292,0.27,1.816,1.6652089623887931,0.6555920235894309,0,1,1
293,0.55,3.752,3.392092330791986,1.3488617496840016,0,1,1
294,2.45,0.023,15.11022947352794,0.0290617011202144,0,1,1
295,1.2,0.0307,7.400928721727968,0.0217962758401608,0,1,1
296,2.0,0.131,12.334881202879949,0.0508579769603752,0,1,1
297,1.8,0.046,11.101393082591954,0.0145308505601072,0,1,1
298,0.7,0.059,4.317208421007981,15.309299121778524,0,1,1
299,0.8,0.04,4.93395248115198,15.309299121778524,0,1,1
300,1.1,0.031,6.784184661583972,15.309299121778524,0,1,1
301,1.7,0.026,10.484649022447956,15.309299121778524,0,1,1
302,0.75,0.055,4.625580451079981,0.0153092991217785,0,1,1
303,0.91,0.041,5.612370947310377,0.0153092991217785,0,1,1
