dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file,method
HIGH,HIGH_direct_poly_rank_1,polynomial,log_gap,1,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9656739163027906,0.9240085812957286,0.8684566329978204,0.6421847508455909,0.9153697789372996,0.3819397367496935,0.950789559120894,0.596008324249821,0.9535925659122292,0.8993188802510756,1.3851248519259654,67.0,0.1876637832754794,0.9828416443414326,67.64319558095163,0.8186430702493523,67.64319558095158,0.8191365000217021,0.3624152850644655,0.9801963127528264,0.0997657629977937,0.9994375842800112,0.0729828731052263,0.0575524752894486,0.433165107295733,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_1_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_5,polynomial,log_gap,5,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,0.913371018316098,0.9463325957972404,0.9723395643628288,0.2944794678363613,0.987210189495227,0.1484787018192567,0.9689819867823524,0.4731846914569383,0.9984689780830828,0.1633468021503091,1.354805469698955,67.0,0.1664260431224363,0.9865054841968144,51.28233292968339,0.8957631040619984,51.28233292968335,0.8960467082667226,0.4725928952430342,0.9663250140071288,0.1061670116074975,0.9993630965808116,0.0778900560922545,0.0694935754987789,0.4296987881494586,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_5_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_3,polynomial,log_gap,3,u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9631921239864982,0.8975478299563661,0.9083800332286738,0.5359454357494374,0.967370786608327,0.2371567056176551,0.9098874403693956,0.8065222637481353,0.9988084358631742,0.144104865553942,1.379684029587148,67.0,0.2280857673876668,0.9746539023971564,66.32925344389427,0.825620213811112,66.32925344389425,0.8260946604083271,0.4048381650016329,0.9752886801278644,0.1581840269123074,0.9985860968928448,0.108757602990023,0.0793522379853526,0.6273939897364704,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_3_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_2,polynomial,log_gap,2,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9714567563190948,0.9137023054081442,0.9391374006881124,0.4368182351287902,0.9757307839264872,0.2045313952212568,0.9694415701979104,0.4696661005733343,0.991736103796248,0.3795005063257698,1.382648161020126,67.0,0.1669073919184348,0.9864273117872928,48.92472080567148,0.9051269998538548,48.924720805671434,0.9053851270890734,0.3330994496559482,0.983270580273854,0.1887533679528288,0.9979868144083698,0.0941009862271984,0.0556080930424754,1.1558370525311312,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_2_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_exp_rank_4,exponential,log_gap,4,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,0.8721736311398907,0.9267572530142713,0.986372291122542,0.2066983145911276,0.9692978081588928,0.2300471182339843,0.95655959175577,0.5599775891633798,0.9984645309220715,0.1635838669406296,1.2838598324700732,67.0,0.3352649803946176,0.9452365102567628,98.91362988791695,0.6122085747713188,98.91362988791693,0.6132636645047681,0.6358512995822513,0.9390401101546167,0.2459464716133957,0.9965819722260052,0.1661566882920593,0.1126829398890518,1.31551765753537,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_exp_rank_4_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_exp_rank_1,exponential,log_gap,1,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.9002129041609763,0.9150864200232868,0.9468195691809002,0.4083207377424183,0.9451189945499956,0.3075694077800779,0.7781629936732306,1.2654374859651194,0.9961135659517774,0.2602529038161384,1.2948929612656113,67.0,0.326210855492741,0.9481544424525,93.3122962694806,0.6548851268527605,93.31229626948056,0.6558241036733634,0.6723939855545161,0.9318319788185092,0.2459974322124709,0.9965805556349268,0.1697818921483347,0.1264545767086725,1.2889379995177748,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_exp_rank_1_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_4,polynomial,log_gap,4,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,0.9408329685652116,0.9042676586166004,0.8302721976174166,0.7294608792360158,0.9325897365788116,0.3408749748450861,0.7419071796047652,1.3649340227099274,0.9902754980419456,0.4116741683781452,1.3573826785176872,67.0,0.2268552086988357,0.9749266570181984,52.15884305300619,0.8921694496692407,52.158843053006144,0.8924628313667321,0.7389547421709002,0.9176679881094966,0.2529315704077503,0.9963850651439886,0.1369359316028773,0.0867372393597735,1.6479731400831237,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_4_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_exp_rank_2,exponential,log_gap,2,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_p_div_u_p,0.8882406985562145,0.9269354228160208,0.9722673985322848,0.2948633647596825,0.9632742608543196,0.2516039062261255,0.9319252468673068,0.7009979291676851,0.9974669930565884,0.2101058394806758,1.289904296616327,67.0,0.3223847742384553,0.9493634887676772,95.48691965694373,0.6386120317247583,95.48691965694368,0.639595283829661,0.7273986372070065,0.920222942603236,0.2541663773698767,0.9963496829045744,0.1712555801571865,0.1278277346388701,1.4282807570135656,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_exp_rank_2_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_exp_rank_5,exponential,log_gap,5,u_r_x_u_p + u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + sigma_n_div_tau_p,0.8860032747718928,0.917133481207782,0.9450128692769932,0.4151987534353345,0.7477370951988109,0.6594149710433866,-12.547518724507407,9.889027336805864,0.9944632912271272,0.3106316997199064,1.2817320225747155,67.0,0.3854613114382776,0.9276103761166088,89.49057519565793,0.6825754435527727,89.49057519565788,0.6834390815005553,1.1251254921983087,0.8091311853404565,0.2846539546373008,0.9954214407580046,0.201401907653188,0.1693311435052802,1.4559316248636798,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_exp_rank_5_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_exp_rank_3,exponential,log_gap,3,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,0.8765113709516559,0.9023500817940008,0.9687209904734362,0.3131497057221025,0.7462871934287949,0.6613072767537209,-14.60251080760801,10.612579179832933,0.9973691914701708,0.2141236083858069,1.2845566582051862,67.0,0.4095626525547702,0.9182749067124796,94.43209617333324,0.6465522814867215,94.4320961733332,0.6475139300298642,1.191204505275099,0.7860532460517418,0.3996144705222033,0.9909764629319052,0.2173111224115338,0.1616427375764588,2.751517111326542,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_exp_rank_3_b_d_from_e_predictions.csv,methodologie_2
LOW_1,LOW_1_poly_rank_4,polynomial,log,4,,,,,,,,,,,,,,,,,,,,3.508399688942544,0.9208210955369672,0.1042813577098428,0.9711027307715264,0.0469428862643745,,,162,162,,,,methodologie_1
LOW_1,LOW_1_poly_rank_2,polynomial,log,2,,,,,,,,,,,,,,,,,,,,3.5698616397192904,0.918530244895126,0.1049221517993701,0.9707995648497102,0.047834233659378,,,161,161,,,,methodologie_1
LOW_1,LOW_1_poly_rank_5,polynomial,log,5,,,,,,,,,,,,,,,,,,,,3.16864518947926,0.9358139181185918,0.105418261177806,0.970522771848159,0.0479051812979102,,,161,161,,,,methodologie_1
LOW_1,LOW_1_poly_rank_3,polynomial,log,3,,,,,,,,,,,,,,,,,,,,3.0298934313609016,0.9417809198997218,0.1069546045863574,0.969879199265432,0.0489233734911625,,,159,159,,,,methodologie_1
LOW_1,LOW_1_poly_rank_1,polynomial,log,1,,,,,,,,,,,,,,,,,,,,2.9406232620961115,0.9435180697765948,0.1075208812278182,0.9694637194434282,0.0498919564704683,,,161,161,,,,methodologie_1
LOW_1,LOW_1_exp_log_rank_2,exponential,log,2,,,,,,,,,,,,,,,,,,,,4.625042836762504,0.8626579549271893,0.1294173592361335,0.9527426087657136,0.0689091033834763,,,162,162,,,,methodologie_1
LOW_1,LOW_1_exp_log_rank_4,exponential,log,4,,,,,,,,,,,,,,,,,,,,4.525653408698941,0.868497329329001,0.1346207060498017,0.9488661605102728,0.0726212519641428,,,162,162,,,,methodologie_1
LOW_1,LOW_1_exp_log_rank_5,exponential,log,5,,,,,,,,,,,,,,,,,,,,4.095927457857834,0.8931790085011995,0.1578376820696645,0.9299822628515068,0.0811020649638177,,,160,160,,,,methodologie_1
LOW_1,LOW_1_exp_log_rank_1,exponential,log,1,,,,,,,,,,,,,,,,,,,,4.716329333968877,0.8583391289626107,0.1951032667461658,0.8894422931827894,0.0821122945678758,,,160,160,,,,methodologie_1
LOW_1,LOW_1_exp_log_rank_3,exponential,log,3,,,,,,,,,,,,,,,,,,,,4.479271646209569,0.8716658284443599,0.2104331462681527,0.8752865433922645,0.07630853240838,,,161,161,,,,methodologie_1
LOW_1,LOW_1_exp_d_rank_3,exponential,d,3,,,,,,,,,,,,,,,,,,,,4.708354993510743,0.8609487951225909,0.3053072508719389,0.7583264678033638,0.0973926003505331,,,153,153,,,,methodologie_1
LOW_1,LOW_1_exp_d_rank_5,exponential,d,5,,,,,,,,,,,,,,,,,,,,7.344660598611962,0.6547746061828417,0.3222491311659125,0.7281941416871693,0.1115250889276409,,,157,157,,,,methodologie_1
LOW_1,LOW_1_exp_d_rank_2,exponential,d,2,,,,,,,,,,,,,,,,,,,,5.461986499848025,0.8132131861160584,0.3597585817368108,0.6613422564617076,0.1106988772201876,,,157,157,,,,methodologie_1
LOW_1,LOW_1_exp_d_rank_1,exponential,d,1,,,,,,,,,,,,,,,,,,,,6.35588979002138,0.7485059956107303,0.3688025464679325,0.6448365795833331,0.112895119845403,,,156,156,,,,methodologie_1
LOW_1,LOW_1_exp_d_rank_4,exponential,d,4,,,,,,,,,,,,,,,,,,,,6.09770560862223,0.7654231758325905,0.4660407711456393,0.3682402601477272,0.1286586116008782,,,152,152,,,,methodologie_1
