dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced,score_variant,rank_within_score_variant
HIGH,HIGH_poly_rank_1,61,149.94344475798067,0.1776155511200009,149.94344475798064,0.1796293661224994,0.8989180486186886,0.8756272441009849,1.538342266850078,1.0648086296987889,0.601076337711906,5.235767409072749,61,0.8681515669520566,methodologie_1,,,,polynomial,3,10,tau_p_div_u_p + tau_r_div_u_r + tau_p_div_u_r,0.0284679302929621,-0.8681515669520566,5274.641846511476,2.0,2.0,1.0,1.0,1.65,1.0,2.0,2.0,1.5500000000000005,1.0,stability_reinforced,1
HIGH,HIGH_poly_rank_4,62,151.17513808038643,0.1521000253836321,151.17513808038638,0.154554644140495,0.8737153853595083,0.877788444997616,1.6154019811328948,1.083087381090196,0.6042524030679641,5.600026546438379,62,0.8559960684045685,methodologie_1,,,,polynomial,3,10,tau_p_div_u_p + tau_p_div_u_r + tau_r_MPa,0.0639387315477922,-0.8559960684045685,5966.875044260547,3.0,3.0,3.0,3.0,3.0,3.0,2.9999999999999996,3.0,3.0000000000000004,2.0,stability_reinforced,2
LOW_1,LOW_1_poly_rank_4,160,1.9968023136123256,0.9381998232725312,1.9968023136123256,0.9340841851211896,3.7704708808143863,0.909548763747293,0.0979609312838429,0.0450896933268495,0.0107373596989903,0.7514101880022376,160,0.9745939602821376,methodologie_1,,,,polynomial,5,21,tau_r_div_tau_p + tau_p_div_sigma_n + tau_peak_MPa_csds + u_p_div_u_r + u_p_div_tau_p,0.0158881815117509,-0.9745939602821376,-74299.91145581838,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4,1.0,stability_reinforced,1
LOW_1,LOW_1_poly_rank_3,161,1.5484323296810445,0.962632975945488,1.5484323296810445,0.9601369050320606,3.90434082985495,0.902482538397962,0.1025792638073932,0.0467403899203653,0.0123961361822477,0.7515019248262064,161,0.9720905378624324,methodologie_1,,,,polynomial,5,21,u_p_div_tau_p + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_sigma_n + tau_r_div_tau_p,0.0125729001517384,-0.9720905378624324,-73281.18958692103,2.0,2.0,2.0,1.0,1.75,2.0,2.0,2.0,1.6,2.0,stability_reinforced,2
LOW_2,LOW_2_poly_rank_3,69,3.533205568755355,0.9781934564143756,3.5332055687553554,0.9779734637844262,0.5490930750421357,0.9836340124111638,0.3009472381985419,0.1715660413538136,0.0685427529284825,1.0477299962773916,69,0.8930107785626604,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds,0.050494250874256,-0.8930107785626604,-16541.250661152062,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4,1.0,stability_reinforced,1
LOW_2,LOW_2_poly_rank_5,69,3.32807397761596,0.980652049658938,3.3280739776159605,0.9804568602442127,0.5565938125833245,0.9831838321871544,0.3015220375583898,0.1727465657083478,0.0712894139025315,1.0476825645194583,69,0.8926016964570448,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_p_x_tau_r,0.056597124528107,-0.8926016964570448,-16514.918252540123,2.0,2.0,2.0,4.0,2.5,2.0,2.0,2.0,2.8000000000000003,2.0,stability_reinforced,2
FULL,FULL_direct_poly_rank_3,299,28.156147582843214,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.087046543883513,0.0348434379357687,0.0085221431874863,1.0321408734875137,299,0.9997653534358866,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.0083836834574265,-0.9997653534358866,-145948.44558391327,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,stability_reinforced,1
FULL,FULL_direct_poly_rank_2,299,27.62860181300535,0.8857421175470742,27.628601813005332,0.8810724450765889,3.969905456476542,0.8332682719287345,0.1022203423388205,0.0273839802085423,0.0064452637901513,1.5737323124192035,299,0.9996764169259208,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,0.007797362797327,-0.9996764169259208,-136339.31875539862,3.0,3.0,3.0,1.0,2.5,3.0,2.9999999999999996,3.0,2.2,2.0,stability_reinforced,2
HIGH,HIGH_direct_poly_rank_3,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.3213527165239805,0.9844296993650868,0.2270784727674752,0.1001536830932374,0.040583517102727,1.4758695770194958,67,0.9970862900048504,methodologie_2,67.0,67.0,67.0,polynomial,4,15,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.0154276231009192,-0.9970862900048504,-19834.88717817756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stability_reinforced,1
HIGH,HIGH_direct_poly_rank_4,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.3213527165239805,0.9844296993650868,0.2270784727674752,0.1001536830932374,0.040583517102727,1.4758695770194958,67,0.9970862900048504,methodologie_2,67.0,67.0,67.0,polynomial,4,15,delta_peak_mm + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.0154276231009192,-0.9970862900048504,-19834.88717817756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stability_reinforced,2
LOW_1,LOW_1_direct_poly_rank_4,163,1.5747060361043983,0.9609246011839018,1.5747060361043987,0.9583028210102436,5.975092866080632,0.7694608708690459,0.0079929061706406,0.0042769680657678,0.0009820533455085,0.0357729708183005,163,0.9998294755206418,methodologie_2,163.0,163.0,163.0,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,0.0256935158951277,-0.9998294755206418,-157375.8482052892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stability_reinforced,1
LOW_1,LOW_1_direct_poly_rank_1,163,1.398798350053711,0.9691670798944716,1.3987983500537111,0.9670983322660954,5.932702588483989,0.7727203856569377,0.0082614624422738,0.003932314685449,0.0008879832157769,0.0611039882344759,163,0.9998178239973952,methodologie_2,163.0,163.0,163.0,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,0.0292462723433063,-0.9998178239973952,-156298.5093760648,2.0,2.0,2.0,3.0,2.25,2.0,2.0,2.0,2.4000000000000004,2.0,stability_reinforced,2
LOW_2,LOW_2_direct_poly_rank_5,69,1.697369581838904,0.9949672906306628,1.6973695818389043,0.994916518761862,0.3316537393626841,0.994029371070668,0.0168272546761106,0.0135915373495676,0.0118340362372734,0.0420089465919669,69,0.9996655079206478,methodologie_2,69.0,69.0,69.0,polynomial,5,21,u_r_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.0032754596052871,-0.9996655079206478,-56327.49024671253,3.0,3.0,3.0,1.0,2.5,1.0,2.9999999999999996,3.0,2.2,1.0,stability_reinforced,1
