dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
HIGH,HIGH_exp_log_rank_2,60,145.01604646035926,0.24073891041469975,145.01604646035923,0.24301262090439868,0.716455090359244,0.8626995944562621,1.9275084288781865,1.2453946162415357,0.6294294409831359,6.83721452286625,60,0.7876075464171253
HIGH,HIGH_exp_d_rank_5,63,143.06755855095625,0.22914538347940605,143.0675585509562,0.2320780883061745,1.2787999560521748,0.7061905851436588,2.413133854848652,1.2996706275386916,0.5951692747629755,13.4927268330958,63,0.6641158881206246
HIGH,HIGH_exp_d_rank_4,60,155.88627477061445,0.12237737779171598,155.88627477061442,0.12539628433667793,0.8946727519033926,0.7367358657461449,2.06961574682672,1.4345524444997126,0.8650263295118674,7.4949882333146345,60,0.7609306980737462
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663835,0.9806890259289834,1.1101061362663835,0.9793952028384686,3.508399688942544,0.9208210955369671,0.10428135770984288,0.046942886264374546,0.010695643564154651,0.7515660771365962,162,0.9711027307715264
LOW_1,LOW_1_poly_rank_2,161,2.5706234773466163,0.8970106376253967,2.5706234773466163,0.8901312280276615,3.5698616397192904,0.9185302448951261,0.1049221517993701,0.04783423365937801,0.013907613974443376,0.7512809991207119,161,0.9707995648497102
LOW_1,LOW_1_poly_rank_5,161,2.161593912813084,0.9271778247459133,2.1615939128130846,0.9223135012874504,3.16864518947926,0.9358139181185918,0.10541826117780602,0.04790518129791025,0.013264778276604616,0.7513720176943516,161,0.970522771848159
LOW_1,LOW_1_poly_rank_3,159,1.0822245570403215,0.9819502685634222,1.0822245570403215,0.9807494149400591,3.0298934313609016,0.9417809198997218,0.10695460458635746,0.048923373491162596,0.013522411461405858,0.7515741336500472,159,0.9698791992654321
LOW_1,LOW_1_poly_rank_1,161,1.0274280774240634,0.9835536268681614,1.0274280774240627,0.982450612792609,2.9406232620961115,0.9435180697765947,0.10752088122781826,0.04989195647046833,0.017681306109240867,0.7517065182795134,161,0.9694637194434282
LOW_1,LOW_1_exp_log_rank_2,162,3.3763781932221324,0.8214475365190741,3.376378193222133,0.8094657310054962,4.625042836762504,0.8626579549271893,0.1294173592361335,0.06890910338347633,0.026454898606610613,0.7516768879887264,162,0.9527426087657135
LOW_1,LOW_1_exp_log_rank_4,162,3.703675550158023,0.7851528770732144,3.7036755501580236,0.7707355098082955,4.525653408698941,0.868497329329001,0.13462070604980175,0.07262125196414289,0.03248275356942257,0.7517339808309732,162,0.9488661605102728
LOW_1,LOW_1_exp_log_rank_3,161,3.470474750238531,0.8123887484556246,3.470474750238531,0.7998352347567059,4.479271646209569,0.8716658284443599,0.21043314626815277,0.07630853240838006,0.013862094633037532,1.6099010181614262,161,0.8752865433922645
LOW_1,LOW_1_exp_log_rank_5,160,5.208478005000099,0.579749834602528,5.208478005000099,0.551707781361666,4.095927457857834,0.8931790085011995,0.15783768206966453,0.08110206496381774,0.03345557954550385,1.038151158390153,160,0.9299822628515068
LOW_1,LOW_1_exp_log_rank_1,160,4.294509642106936,0.7144635282963827,4.294509642106936,0.6953989016032638,4.716329333968877,0.8583391289626107,0.1951032667461658,0.08211229456787585,0.026539323530182714,1.508155514352944,160,0.8894422931827894
LOW_1,LOW_1_exp_d_rank_3,153,43.60726361285365,-27.20314880392107,43.607263612853664,-29.115740745809116,4.708354993510743,0.8609487951225909,0.30530725087193894,0.09739260035053317,0.033299887215932154,2.668026410047714,153,0.7583264678033638
LOW_1,LOW_1_exp_d_rank_2,157,25.120688122844026,-8.59930764840715,25.120688122844026,-9.244717040406945,5.461986499848025,0.8132131861160584,0.35975858173681086,0.11069887722018767,0.03778232350729735,3.226697275174673,157,0.6613422564617076
LOW_1,LOW_1_exp_d_rank_5,157,11.48514691088027,-1.0081449739290687,11.48514691088027,-1.142438041028972,7.344660598611962,0.6547746061828417,0.3222491311659125,0.11152508892764096,0.04978274966267013,2.3250999227389983,157,0.7281941416871693
LOW_1,LOW_1_exp_d_rank_1,156,23.6301029699707,-7.446258468767827,23.6301029699707,-8.012437693465376,6.35588979002138,0.7485059956107303,0.3688025464679325,0.11289511984540301,0.04113845399784134,3.3042292641179527,156,0.6448365795833331
LOW_1,LOW_1_exp_d_rank_4,152,6.078531950638605,0.45520223599960363,6.078531950638605,0.41868784631169953,6.09770560862223,0.7654231758325905,0.4660407711456393,0.1286586116008782,0.03906626538790697,4.671799698340771,152,0.36824026014772726
LOW_2,LOW_2_poly_rank_2,69,4.101977932368465,0.9706075586298977,4.101977932368465,0.9703110366041925,0.5669147504851444,0.9825544045093776,0.30105492062109407,0.16925506518942965,0.06610486975503455,1.047755113112929,69,0.8929342008889863
LOW_2,LOW_2_poly_rank_1,69,3.533205568755404,0.9781934564143749,3.5332055687554043,0.9779734637844256,0.5490930750421362,0.9836340124111638,0.3009472381985423,0.17156604135381365,0.06854275292848185,1.0477299962773945,69,0.8930107785626602
LOW_2,LOW_2_poly_rank_3,69,3.328073977615978,0.9806520496589378,3.328073977615978,0.9804568602442125,0.556593812583324,0.9831838321871543,0.30152203755838985,0.17274656570834787,0.0712894139025315,1.0476825645194585,69,0.8926016964570448
LOW_2,LOW_2_poly_rank_5,69,3.1201880780890803,0.982993671353559,3.120188078089081,0.9828221051009788,0.5539430680711462,0.9833436227554138,0.30207393316063136,0.17438147219447844,0.07578686104395764,1.0476291385910275,69,0.892208180300092
LOW_2,LOW_2_poly_rank_4,69,2.913538347589117,0.9851717295492943,2.913538347589118,0.98502213636864,0.6215945543257378,0.9790268005743369,0.30784989561530307,0.1853826442259658,0.09035934134458601,1.0474227117954242,69,0.8880465905489285
LOW_2,LOW_2_exp_log_rank_1,69,8.79666460542699,0.8648285138287094,8.796664605426988,0.8634648529339779,0.9981227210518366,0.9459223054881782,0.30518646961926615,0.19158030620541577,0.10159382031354282,1.0468222292320528,69,0.8899753860072425
LOW_2,LOW_2_exp_log_rank_3,69,8.816239660750558,0.8642262552513102,8.816239660750556,0.8628565185450761,1.1332360295437238,0.9302906502020019,0.30565257135634016,0.1928026200642318,0.10817454801047083,1.0468115158811448,69,0.8896390550750748
LOW_2,LOW_2_exp_log_rank_4,69,8.819622974237697,0.8641220263958576,8.819622974237697,0.8627512381896487,1.1163795639644398,0.9323490281292242,0.30623102005444525,0.1933415975773068,0.10726547343238177,1.0468064614530455,69,0.8892209427614726
LOW_2,LOW_2_exp_d_rank_4,69,8.29501949125191,0.8798057081733368,8.29501949125191,0.8785931428596265,1.1269223122165466,0.9310652444797746,0.30626721865800133,0.19344083639047185,0.10000238600122359,1.0469623764999347,69,0.8891947515272723
LOW_2,LOW_2_exp_log_rank_2,69,8.897789472866485,0.8617028364142522,8.897789472866485,0.8603076425077859,1.1152167113640794,0.9324898890686911,0.3063781167490251,0.1941829662320777,0.10771492681311261,1.0468165747414864,69,0.8891144927563974
LOW_2,LOW_2_exp_log_rank_5,69,8.92445472501243,0.8608726853939352,8.924454725012428,0.8594691166111161,1.3415691202652376,0.9023040881189913,0.3069599577143203,0.19570742126952742,0.10958777044462277,1.0468044986296428,69,0.888692928749885
LOW_2,LOW_2_exp_d_rank_3,69,8.803335115954228,0.8646234350340994,8.803335115954226,0.8632577052271997,0.6596039107695866,0.9763834351173235,0.3092700941076212,0.19844923765204225,0.11423705148540182,1.0468247674199564,69,0.8870112625371345
LOW_2,LOW_2_exp_d_rank_5,68,9.31709937953616,0.8502068863153855,9.31709937953616,0.8486577738786307,0.8631921194561863,0.9576734879308817,0.3107334577300715,0.20100539795135802,0.11358857333549144,1.04664808190956,68,0.8868608712035325
LOW_2,LOW_2_exp_d_rank_2,68,11.763276252814755,0.7612260273351402,11.763276252814755,0.7587567033353249,1.0467610394293567,0.9377566945778633,0.312866206731301,0.20515501595459615,0.11536491715979769,1.0457646855128777,68,0.8853024587329036
