u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name,Best_Model_Degree
4.3774999999999995,2.23,15.49,14.875,28.97795307840756,3.538549400342662,106.66392806646068,Model_147_deg2,2
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,0.6153846153846154,3.4431020371340013,Model_147_deg2,2
2.175,0.4,5.29,4.25,7.7298658017251105,2.4321839080459773,3.449104508988863,Model_147_deg2,2
3.6125,0.99,15.85,14.965,19.677295648967803,4.387543252595155,32.19180164051025,Model_147_deg2,2
1.9,1.16,0.64,0.54,9.458859589233091,0.33684210526315794,3.002279869323282,Model_147_deg2,2
2.566666666666667,1.3,4.2,3.9333333333333336,10.666176341529724,1.6363636363636362,27.153196602691686,Model_147_deg2,2
31.453947067343865,5.1,14.28,13.490170336848536,15.578009547900097,0.45399707608797335,41.2246058238257,Model_147_deg2,2
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,0.3717948717948718,3.30180919181358,Model_147_deg2,2
2.1775,0.67,4.06,3.745,5.907719354979028,1.864523536165327,12.824059400508244,Model_147_deg2,2
3.9,1.32,14.36,13.5925,19.718523681195663,3.682051282051282,54.74910887811809,Model_147_deg2,2
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,0.6160164271047228,3.50392832315304,Model_147_deg2,2
2.1825,0.32,5.06,4.11975,6.530332651104151,2.3184421534936996,1.5023747633772047,Model_147_deg2,2
3.895,1.07,14.3,13.0025,20.31787030166651,3.671373555840822,40.49767925742674,Model_147_deg2,2
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,0.5425531914893617,3.280200433252609,Model_147_deg2,2
2.175,0.24,6.09,4.409,7.86013841211722,2.8000000000000003,-5.74180594138895,Model_147_deg2,2
3.8625,0.5,16.89,15.2325,18.887967066441504,4.3728155339805825,0.584676110688914,Model_147_deg2,2
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,0.5460385438972163,3.1818615811685884,Model_147_deg2,2
2.1675,0.23,5.85,4.43275,7.23422060168731,2.698961937716263,-5.104228472863298,Model_147_deg2,2
3.8625,0.75,16.87,15.795,19.288556358159465,4.3676375404530745,17.76434025777575,Model_147_deg2,2
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,0.5128205128205129,3.459419518984088,Model_147_deg2,2
2.563333333333333,1.11,4.61,4.293333333333333,9.21138452802538,1.7984395318595583,24.76544999070843,Model_147_deg2,2
4.553333333333334,3.93,16.61,16.513333333333332,30.711748245470854,3.647877013177159,206.26825567146673,Model_147_deg2,2
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.4892703862660943,3.4874149620341415,Model_147_deg2,2
2.17,0.32,4.74,4.0465,5.80309001190173,2.184331797235023,2.312157813082118,Model_147_deg2,2
4.13,1.88,15.76,14.8875,29.885331291761865,3.8159806295399514,90.12846727210813,Model_147_deg2,2
1.5666666666666669,0.23,0.81,0.5826666666666666,1.190751192870266,0.5170212765957446,3.595229629322945,Model_147_deg2,2
2.18,0.27,5.18,4.452999999999999,6.024725557485408,2.3761467889908254,-0.6055934292368113,Model_147_deg2,2
4.1125,1.85,17.29,16.4125,30.71216321375646,4.2042553191489365,93.19142748436191,Model_147_deg2,2
1.5766666666666669,0.65,0.57,0.478,2.090273609680621,0.361522198731501,3.2029455191512777,Model_147_deg2,2
2.6333333333333333,1.47,3.8,3.616,9.76564024424423,1.4430379746835442,27.618428450587018,Model_147_deg2,2
4.1575,2.12,13.69,12.965,30.79818353264837,3.292844257366206,94.07699376998814,Model_147_deg2,2
1.5666666666666669,0.48,0.88,0.6386666666666666,2.909683904106867,0.5617021276595744,4.341776586574319,Model_147_deg2,2
2.9225,0.52,5.54,4.727,7.254730037291942,1.8956372968349018,11.713235465846493,Model_147_deg2,2
3.925,0.9,17.84,14.94,27.969435602700997,4.545222929936306,27.41844999808054,Model_147_deg2,2
1.49,0.22,0.66,0.4575,1.0088217275318825,0.4429530201342282,3.413287412317953,Model_147_deg2,2
3.1,1.93,4.22,4.0145,14.837057992923611,1.361290322580645,35.44666383125207,Model_147_deg2,2
4.75,3.98,15.12,14.85,60.51147902358684,3.183157894736842,185.88526254945666,Model_147_deg2,2
1.5666666666666669,0.13,1.09,0.5446666666666667,1.5022992365882244,0.6957446808510638,3.126778127758639,Model_147_deg2,2
2.1775,0.28,5.16,3.81425,6.944681077528114,2.369690011481056,-0.22704231425576094,Model_147_deg2,2
3.88,0.7,16.09,11.71,26.70369715320237,4.146907216494846,16.33953994655686,Model_147_deg2,2
2.06,1.1,0.64,0.593,2.1062804370896413,0.3106796116504854,2.837450291275712,Model_147_deg2,2
3.85,3.11,4.79,4.4285,110.04621145632456,1.2441558441558442,52.73822613109917,Model_147_deg2,2
4.833333333333333,2.95,17.57,15.660000000000002,149.2033516563727,3.6351724137931036,152.55142178424225,Model_147_deg2,2
1.64,0.1,1.15,0.5823333333333333,1.4292184556456984,0.7012195121951219,3.080917883977083,Model_147_deg2,2
2.06,0.26,5.06,2.78625,8.323852820988881,2.4563106796116503,-2.152305270502148,Model_147_deg2,2
3.91,0.48,15.79,12.4225,19.82682598861948,4.038363171355498,3.5264639507714026,Model_147_deg2,2
1.5599999999999998,0.47,0.9,0.6583333333333333,2.8170854823861977,0.576923076923077,4.371130046359246,Model_147_deg2,2
2.1875,0.49,5.79,4.2505,11.587462282580969,2.646857142857143,5.539662513507999,Model_147_deg2,2
