u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
4.125,2.56,14.35,13.695,46.93847166872315,42.53554705511235
4.125,2.24,16.29,15.185,52.11991061368265,35.563027696894736
2.225,0.32,5.75,4.01075,8.603420753633683,13.947101971602386
3.925,0.98,16.9,13.655,31.07800532373415,17.830414845673065
2.1775,0.38,5.29,3.8055,8.690271247786866,14.473142707402813
3.865,1.12,15.69,14.2025,23.533287016774107,19.36749307468507
2.175,0.33,5.38,4.15275,7.475845259507069,14.076440405217145
4.6125,0.94,15.17,14.2325,17.463039541690666,16.585552539439288
7.0,6.69,11.06,11.03,17.799176332863528,347.90319578650366
2.175,0.24,5.1,3.69825,6.5752166070220195,13.385195905020852
3.8575,0.47,14.84,13.285,16.560885261750222,13.470195267416546
2.165,0.25,6.22,4.547499999999999,8.101032108811562,13.47008506091042
4.1075,0.46,18.37,16.2525,20.456830792736472,13.15372336702894
4.84,3.02,14.29,13.226666666666668,80.84904894440885,52.23258849306036
3.88,0.84,14.83,12.9825,20.314410697776193,16.54114438991915
2.1675,0.24,5.34,3.634,7.185284821064535,13.392498110970406
3.8475,0.58,15.72,12.52,21.029190021060213,14.335650430514187
2.19,0.34,5.86,3.70375,10.11140264472491,14.139983824835573
3.9025,0.72,15.23,13.1975,19.745395084347095,15.44178429192824
4.513333333333333,2.99,16.39,14.923333333333332,155.0246838057176,52.5979513778182
2.18,0.39,6.11,4.593,9.650943521426855,14.551698263040297
4.13,2.78,17.18,15.5675,188.7817161184181,48.08941620388078
3.89,0.58,14.25,12.71,16.580375185655917,14.291413494129843
4.18,2.48,15.4,14.19,76.53454554337887,40.51134961336745
4.2125,1.92,17.14,16.56,25.71881265970457,29.544867348041954
4.84,1.79,15.01,14.9025,15.792604092393107,26.246858036813077
4.496666666666667,3.33,14.77,14.159999999999998,85.84575820940591,63.695399324962956
4.3774999999999995,2.23,15.49,14.875,28.97795307840756,34.72118882871648
2.175,0.4,5.29,4.25,7.7298658017251105,14.638661864669228
3.6125,0.99,15.85,14.965,19.677295648967803,18.34258263261126
31.453947067343865,5.1,14.28,13.490170336848536,15.578009547900097,24.145003087827607
3.9,1.32,14.36,13.5925,19.718523681195663,21.60547719761978
2.1825,0.32,5.06,4.11975,6.530332651104151,13.990273143083579
3.895,1.07,14.3,13.0025,20.31787030166651,18.792173326224887
2.175,0.24,6.09,4.409,7.86013841211722,13.385195905020852
3.8625,0.5,16.89,15.2325,18.887967066441504,13.693212720239387
2.1675,0.23,5.85,4.43275,7.23422060168731,13.317778986202192
3.8625,0.75,16.87,15.795,19.288556358159465,15.748896045182597
4.553333333333334,3.93,16.61,16.513333333333332,30.711748245470854,88.73723023822542
4.13,1.88,15.76,14.8875,29.885331291761865,29.06486857682957
2.18,0.27,5.18,4.452999999999999,6.024725557485408,13.60680607748014
4.1125,1.85,17.29,16.4125,30.71216321375646,28.617498580148855
4.1575,2.12,13.69,12.965,30.79818353264837,33.17529863080306
2.9225,0.52,5.54,4.727,7.254730037291942,14.826943343844068
3.925,0.9,17.84,14.94,27.969435602700997,17.04995055978964
