u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
4.13,2.78,17.18,15.5675,188.7817161184181,110.87227043169243
3.89,0.58,14.25,12.71,16.580375185655917,10.758097207061883
4.18,2.48,15.4,14.19,76.53454554337887,101.7302308936928
4.2125,1.92,17.14,16.56,25.71881265970457,81.04345933193278
4.84,1.79,15.01,14.9025,15.792604092393107,69.78774402266349
4.496666666666667,3.33,14.77,14.159999999999998,85.84575820940591,117.1082055134034
4.3774999999999995,2.23,15.49,14.875,28.97795307840756,91.24287814762613
2.175,0.4,5.29,4.25,7.7298658017251105,9.72017122070455
3.6125,0.99,15.85,14.965,19.677295648967803,38.8947399523498
31.453947067343865,5.1,14.28,13.490170336848536,15.578009547900097,16.919564830170316
3.9,1.32,14.36,13.5925,19.718523681195663,55.394428021921065
2.1825,0.32,5.06,4.11975,6.530332651104151,3.541717583410879
3.895,1.07,14.3,13.0025,20.31787030166651,41.46840589429169
2.175,0.24,6.09,4.409,7.86013841211722,-2.644862623753795
3.8625,0.5,16.89,15.2325,18.887967066441504,5.478889317499757
2.1675,0.23,5.85,4.43275,7.23422060168731,-3.380104432842078
3.8625,0.75,16.87,15.795,19.288556358159465,22.11534101405669
4.553333333333334,3.93,16.61,16.513333333333332,30.711748245470854,121.55760623493288
4.13,1.88,15.76,14.8875,29.885331291761865,80.17653472961113
2.18,0.27,5.18,4.452999999999999,6.024725557485408,-0.3263665905322277
4.1125,1.85,17.29,16.4125,30.71216321375646,79.06502387556692
4.1575,2.12,13.69,12.965,30.79818353264837,89.54197719645347
2.9225,0.52,5.54,4.727,7.254730037291942,13.038034881148281
3.925,0.9,17.84,14.94,27.969435602700997,31.093897441955576
4.75,3.98,15.12,14.85,60.51147902358684,118.6352828607509
2.1775,0.28,5.16,3.81425,6.944681077528114,0.47278267628995607
3.88,0.7,16.09,11.71,26.70369715320237,18.7658236464039
4.833333333333333,2.95,17.57,15.660000000000002,149.2033516563727,106.09404749565897
2.06,0.26,5.06,2.78625,8.323852820988881,-0.23783195528106837
3.91,0.48,15.79,12.4225,19.82682598861948,3.817998613134236
2.1875,0.49,5.79,4.2505,11.587462282580969,16.368229684580076
3.86,1.09,17.51,14.9375,31.490887035413166,42.899332276762294
2.9125,0.4,5.46,4.44825,6.882030880581543,4.41347741197286
4.3725000000000005,2.66,17.29,16.490000000000002,53.88926722177272,104.73039338728695
6.0,5.68,13.66,13.51,59.19426760374002,69.81095554030804
13.0,2.29,30.401,2.493,193.9802115140508,43.191106992837774
13.0,3.95,5.488,4.171,15.644466241634497,31.17969619538013
15.0,2.09,55.263,3.813,193.99512243089907,42.9794470226479
5.4273477292671775,0.88,5.477,2.848434309388562,11.6545172386138,20.5699818678028
2.7136738646335887,0.44,5.856,2.848434309388562,13.139359297289314,8.734765522696176
10.484649022447956,1.7,7.35,2.2212250296583855,22.381601780078316,36.470944919910956
