u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
3.86,1.09,17.51,14.9375,31.490887035413166,66.3706240985138
2.0725,0.14,0.99,0.65575,1.1704311885872505,0.8267123794155327
2.9125,0.4,5.46,4.44825,6.882030880581543,2.579312701519796
4.3725000000000005,2.66,17.29,16.490000000000002,53.88926722177272,142.03015683736217
1.85,1.09,0.51,0.452,3.953396865652164,1.1551931884503042
28.00018033053748,4.54,3.73,3.372542584212134,4.343103435426621,0.5479672595779039
6.0,5.68,13.66,13.51,59.19426760374002,172.93432362002977
15.0,8.16,0.64,0.4826666666666666,11.645895951824402,5.206067331733058
15.0,9.63,1.15,0.9263333333333332,32.59743234903014,11.096073709930081
15.0,8.17,1.67,1.391,16.148831874738754,6.803078440299776
15.0,7.68,2.36,1.9943333333333333,16.011222974188158,6.580408679070754
17.5,12.65,2.87,2.478,88.02266261294648,46.859051876512645
3.75,0.55,0.015,0.014,0.0164195869070291,0.6476302376337602
3.75,0.73,0.017,0.0155,0.0204950016940742,0.6996572884620523
3.75,0.73,0.031,0.0205,0.0626170527109933,0.7015544320882667
4.25,0.56,0.032,0.0305,0.0337729190185453,0.6163330717757379
4.25,0.61,0.036,0.032,0.0417117896904809,0.6301137903952084
4.25,0.8,0.041,0.0365,0.0511135447707714,0.6841971732855129
4.25,0.85,0.053,0.0412499999999999,0.0862035990108784,0.7006111051063191
4.75,1.18,0.072,0.06875,0.0832453537063408,0.7655109033439021
4.75,1.07,0.082,0.07425,0.1059245022212473,0.7319985719416752
4.75,0.99,0.091,0.0815,0.1165845623553453,0.7090091751831642
4.75,1.33,0.123,0.109,0.1935437839006371,0.8263447107239541
3.0,0.57,0.057,0.045,0.0873378142666348,0.7200757778453553
3.0,0.74,0.052,0.0426666666666666,0.091004766586305,0.7734407314670841
3.75,1.17,0.042,0.037,0.0749972465016185,0.8494821328954287
4.333333333333333,2.7,0.036,0.0356666666666666,0.0479824484344826,1.5227001558746376
3.5,0.75,0.022,0.02125,0.0239205992767688,0.7275780664220953
3.5,1.15,0.021,0.02,0.0273958891535081,0.8627009898113699
3.5,1.1,0.02,0.01925,0.024206977641193,0.8442911556692435
3.5,1.25,0.019,0.01875,0.0207347706438796,0.8998961275238966
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.7614295322087437
3.75,0.8,0.039,0.03775,0.0421628695173391,0.7251763761090093
3.75,1.1,0.031,0.03025,0.034476216061608,0.8224616111313423
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,0.9731531438966692
3.0,1.49,0.929,0.87,2.261168014799032,1.3412772488555134
3.5,2.48,1.278,1.2245,6.199218816480315,2.1220803991703936
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,1.0658130892902364
3.5,2.0,0.785,0.745,2.2330839300345446,1.516341562973983
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,1.6008013259821707
3.5,2.5,1.53,1.435,12.626062390354296,2.279494498730364
13.0,1.28,0.381,0.236,0.5158827945510767,0.32616037636324197
13.0,1.94,1.479,1.139,2.0441763320711632,0.5678636427446311
13.0,2.29,30.401,2.493,193.9802115140508,61.169809488354275
13.0,3.95,5.488,4.171,15.644466241634497,3.513852543563223
13.0,0.34,0.306,0.104,0.342125551076079,0.2125959360248406
13.0,0.55,1.422,0.768,1.622926430267495,0.29776343790371107
13.0,1.07,2.417,1.547,3.0359207977309928,0.47380963018720573
13.0,1.08,4.482,3.316,5.292113495505316,0.8017091617837694
15.0,0.1,0.367,0.136,0.3762542971419538,0.1539647771236218
15.0,0.67,1.297,0.843,1.4428183417647384,0.24572329243714003
15.0,0.78,3.232,2.23,3.6162854300913425,0.4066236062735562
15.0,2.08,4.233,3.386,5.454140731869376,0.9445859570520216
15.0,0.42,0.464,0.223,0.509841251907236,0.18094774444598163
15.0,1.34,1.532,0.812,2.1322731944591187,0.3376024974180316
15.0,1.56,2.845,1.821,3.870502462074933,0.5096368370922543
15.0,1.9,4.37,3.015,6.174917494621263,0.8546396624336658
15.0,2.09,55.263,3.813,193.99512243089907,2225.664989901406
1.6652089623887931,0.27,2.655,1.3036485066778338,5.913938435670004,1.2725527903024605
3.083720300719987,0.5,2.417,0.6555920235894309,7.783373274827283,1.062803618867058
5.4273477292671775,0.88,5.477,2.848434309388562,11.6545172386138,1.957941885393866
1.7885577744175924,0.29,3.214,1.959240530267265,5.94873324311999,1.4878530980319649
2.7136738646335887,0.44,3.179,1.959240530267265,5.822995088811631,1.4164132586287694
2.7136738646335887,0.44,5.856,2.848434309388562,13.139359297289314,2.3583986961199055
2.590325052604789,0.42,4.293,1.959240530267265,10.103502878345669,1.6858904429316093
1.6652089623887931,0.27,1.816,0.6555920235894309,4.99596556846492,1.0381589529238067
3.392092330791986,0.55,3.752,1.3488617496840016,10.348266553301816,1.3911697681866837
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.5600642011047912
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,0.4514292829828446
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.4705152402347159
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.6407946562343876
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.6101760820514128
11.533113924692753,1.87,0.046,0.0153092991217785,0.1327773504888432,0.461012600755777
13.383346105124744,2.17,0.042,0.0153092991217785,0.1148672965647978,0.42199111985745863
8.942788872087963,1.45,1.14,0.7935883525311068,1.844695714389715,0.6744754571099123
11.101393082591954,1.8,3.8,2.3726672172613705,6.873786646011853,1.0972015407852884
6.784184661583972,1.1,1.23,0.5909609098097346,2.7859609573962865,0.7395129056496115
4.625580451079981,0.75,0.94,0.7727950359050375,1.247954429578691,0.8012762711415622
8.017672781871967,1.3,3.7,1.9806931592524069,7.687433215751687,1.194333056733321
9.25116090215996,1.5,2.94,0.5553062574145964,11.123585210138952,0.8481077526443158
10.484649022447956,1.7,1.47,1.1106125148291928,2.1678936482955633,0.6841475278028056
10.484649022447956,1.7,7.35,2.2212250296583855,22.381601780078316,1.897330925029489
0.6167440601439975,0.1,0.08,0.0796743371481683,0.080483435478867,0.7840152121112709
7.400928721727968,1.2,0.024,0.0202072594216368,0.0308724056592388,0.5593921768540734
6.784184661583972,1.1,0.025,0.0202072594216368,0.0339263343000876,0.5760997380710469
7.709300751799968,1.25,0.047,0.0398371685740841,0.0599181190992916,0.554470203139587
7.400928721727968,1.2,0.05,0.0398371685740841,0.0691035642872409,0.5629021365866087
