Dataset,Selection_Mode,Rank_in_saved_results,N_Features,Features,Intercept_log_d,Equation_log_d,Equation_d,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_cv_std_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score
LOW_2,log,5,4,u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa + u_r_mm,2.545161822918188,log(d_csds) = 2.5451618229 + 4.2925990098*u_p_div_u_r - 4.1396539297*tau_r_div_tau_p + 0.4764054370*tau_r_MPa + 0.0129485914*u_r_mm,d_csds = exp(2.5451618229 + 4.2925990098*u_p_div_u_r - 4.1396539297*tau_r_div_tau_p + 0.4764054370*tau_r_MPa + 0.0129485914*u_r_mm),0.95724258013353,0.7906911664457187,0.1381209616994763,0.868875664723219,12.627300507691906,1.2987760671864417
LOW_2,d,1,6,u_r_div_u_p + u_p_x_tau_p + tau_r_MPa + u_p_div_u_r + u_p_div_tau_r + tau_r_div_tau_p,2.2214958628709005,log(d_csds) = 2.2214958629 + 0.0494878800*u_r_div_u_p + 0.0353771821*u_p_x_tau_p + 0.3736478047*tau_r_MPa + 4.4958164777*u_p_div_u_r - 0.3046980367*u_p_div_tau_r - 3.6649125421*tau_r_div_tau_p,d_csds = exp(2.2214958629 + 0.0494878800*u_r_div_u_p + 0.0353771821*u_p_x_tau_p + 0.3736478047*tau_r_MPa + 4.4958164777*u_p_div_u_r - 0.3046980367*u_p_div_tau_r - 3.6649125421*tau_r_div_tau_p),0.9357939070493247,0.8096195392597787,0.1375186557027792,0.9434776529367562,8.290466332124057,1.2745355569963677
LOW_2,d,2,6,tau_r_div_tau_p + tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + u_r_x_tau_p + u_r_div_u_p,2.1244029749655926,log(d_csds) = 2.1244029750 - 3.6397933000*tau_r_div_tau_p + 0.3918682501*tau_r_MPa + 0.0404209065*u_p_x_tau_p + 4.3002857046*u_p_div_u_r - 0.0049493912*u_r_x_tau_p + 0.0585347844*u_r_div_u_p,d_csds = exp(2.1244029750 - 3.6397933000*tau_r_div_tau_p + 0.3918682501*tau_r_MPa + 0.0404209065*u_p_x_tau_p + 4.3002857046*u_p_div_u_r - 0.0049493912*u_r_x_tau_p + 0.0585347844*u_r_div_u_p),0.9376884300679856,0.8065758704586831,0.125130207924484,0.9410782831340802,8.464602389665941,1.2718531975709733
LOW_2,d,3,6,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa + u_r_div_u_p + u_r_x_tau_r,2.1903269574434407,log(d_csds) = 2.1903269574 + 0.0413161532*u_p_x_tau_r + 4.3035702011*u_p_div_u_r - 3.7427562706*tau_r_div_tau_p + 0.4029961457*tau_r_MPa + 0.0534293448*u_r_div_u_p - 0.0044403600*u_r_x_tau_r,d_csds = exp(2.1903269574 + 0.0413161532*u_p_x_tau_r + 4.3035702011*u_p_div_u_r - 3.7427562706*tau_r_div_tau_p + 0.4029961457*tau_r_MPa + 0.0534293448*u_r_div_u_p - 0.0044403600*u_r_x_tau_r),0.9552727040007084,0.8049573020885564,0.1390266596723678,0.9403685669873834,8.515428157838508,1.2689445520644247
LOW_2,d,4,6,u_p_div_u_r + tau_r_MPa + tau_r_div_tau_p + u_r_div_u_p + u_p_x_tau_r + tau_r_div_u_r,2.237064759827272,log(d_csds) = 2.2370647598 + 4.4063171288*u_p_div_u_r + 0.3277581059*tau_r_MPa - 3.8411292607*tau_r_div_tau_p + 0.0530000825*u_r_div_u_p + 0.0412299439*u_p_x_tau_r + 0.1568307548*tau_r_div_u_r,d_csds = exp(2.2370647598 + 4.4063171288*u_p_div_u_r + 0.3277581059*tau_r_MPa - 3.8411292607*tau_r_div_tau_p + 0.0530000825*u_r_div_u_p + 0.0412299439*u_p_x_tau_r + 0.1568307548*tau_r_div_u_r),0.9577633166861628,0.797044397532806,0.1145511133149025,0.9403328959547604,8.517974706596872,1.267399983389673
LOW_2,d,5,6,u_p_div_u_r + u_p_div_tau_r + tau_r_div_tau_p + u_p_x_tau_r + u_r_div_u_p + tau_r_MPa,2.3137814877072644,log(d_csds) = 2.3137814877 + 4.4602453627*u_p_div_u_r - 0.2273969229*u_p_div_tau_r - 3.8214551641*tau_r_div_tau_p + 0.0369361097*u_p_x_tau_r + 0.0472411048*u_r_div_u_p + 0.3878507365*tau_r_MPa,d_csds = exp(2.3137814877 + 4.4602453627*u_p_div_u_r - 0.2273969229*u_p_div_tau_r - 3.8214551641*tau_r_div_tau_p + 0.0369361097*u_p_x_tau_r + 0.0472411048*u_r_div_u_p + 0.3878507365*tau_r_MPa),0.9588813754196316,0.801726199370333,0.1391964586523603,0.939034338906806,8.610165712052561,1.2659777927267364
HIGH,log,1,5,delta_peak_mm + tau_p_div_u_r + tau_r_div_u_r + u_p_div_u_r + u_p_div_tau_p,2.8230529467740575,log(d_csds) = 2.8230529468 + 0.2620108713*delta_peak_mm + 0.6560523823*tau_p_div_u_r - 0.8451912895*tau_r_div_u_r + 3.8083630776*u_p_div_u_r - 6.9758067367*u_p_div_tau_p,d_csds = exp(2.8230529468 + 0.2620108713*delta_peak_mm + 0.6560523823*tau_p_div_u_r - 0.8451912895*tau_r_div_u_r + 3.8083630776*u_p_div_u_r - 6.9758067367*u_p_div_tau_p),0.8902372164526314,0.4704545324063846,0.080743832476947,0.7271911479651227,30.29166929417075,1.0673900994081291
HIGH,log,2,5,tau_p_div_u_r + tau_r_div_u_r + u_r_div_u_p + u_p_div_u_r + u_p_div_tau_p,3.2863135125094676,log(d_csds) = 3.2863135125 + 0.6857894976*tau_p_div_u_r - 0.9426572953*tau_r_div_u_r - 0.0330087306*u_r_div_u_p + 4.1337359364*u_p_div_u_r - 5.0789204339*u_p_div_tau_p,d_csds = exp(3.2863135125 + 0.6857894976*tau_p_div_u_r - 0.9426572953*tau_r_div_u_r - 0.0330087306*u_r_div_u_p + 4.1337359364*u_p_div_u_r - 5.0789204339*u_p_div_tau_p),0.8821115216176166,0.4684214052558734,0.065331975807661,0.6860956853979994,32.4932102215937,1.0597890266647871
HIGH,log,3,5,tau_r_div_u_r + u_p_div_u_r + tau_p_div_u_r + u_p_div_tau_p + tau_p_div_u_p,2.940626770354433,log(d_csds) = 2.9406267704 - 0.9472677988*tau_r_div_u_r + 4.0299320024*u_p_div_u_r + 0.7844480463*tau_p_div_u_r - 4.6225544017*u_p_div_tau_p - 0.0102733833*tau_p_div_u_p,d_csds = exp(2.9406267704 - 0.9472677988*tau_r_div_u_r + 4.0299320024*u_p_div_u_r + 0.7844480463*tau_p_div_u_r - 4.6225544017*u_p_div_tau_p - 0.0102733833*tau_p_div_u_p),0.8723400121859026,0.4824307334977126,0.063596309216652,0.6956369121358534,31.99557862053628,1.0571957480130938
HIGH,log,4,5,tau_r_div_u_r + u_p_div_u_r + tau_p_div_u_r + u_p_div_tau_p + tau_p_x_tau_r,2.781201130740179,log(d_csds) = 2.7812011307 - 0.9690743856*tau_r_div_u_r + 4.3139337949*u_p_div_u_r + 0.7106129382*tau_p_div_u_r - 4.7350678507*u_p_div_tau_p + 0.0011683235*tau_p_x_tau_r,d_csds = exp(2.7812011307 - 0.9690743856*tau_r_div_u_r + 4.3139337949*u_p_div_u_r + 0.7106129382*tau_p_div_u_r - 4.7350678507*u_p_div_tau_p + 0.0011683235*tau_p_x_tau_r),0.8745034818226078,0.4760346764975663,0.0761490419702946,0.6588808144918625,33.87248435021665,1.0549059158743614
HIGH,d,1,5,u_r_div_tau_r + delta_peak_mm + u_p_div_tau_p + tau_r_div_tau_p + u_r_div_u_p,7.265757514203516,log(d_csds) = 7.2657575142 - 0.5311166450*u_r_div_tau_r + 0.8095541408*delta_peak_mm - 6.0294069563*u_p_div_tau_p - 4.3882783211*tau_r_div_tau_p - 0.0640442309*u_r_div_u_p,d_csds = exp(7.2657575142 - 0.5311166450*u_r_div_tau_r + 0.8095541408*delta_peak_mm - 6.0294069563*u_p_div_tau_p - 4.3882783211*tau_r_div_tau_p - 0.0640442309*u_r_div_u_p),0.1908910254790187,0.5009517881897046,0.1629433131745866,0.8235144460166726,24.36399821601519,1.0076960087940663
HIGH,d,2,6,u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + delta_peak_mm + tau_p_div_u_p + u_p_div_tau_p,6.598987142010147,log(d_csds) = 6.5989871420 - 0.3320411471*u_r_div_tau_r + 2.5357799441*u_p_div_u_r - 4.0770431880*tau_r_div_tau_p + 0.4238461240*delta_peak_mm - 0.0150335583*tau_p_div_u_p - 6.3801169379*u_p_div_tau_p,d_csds = exp(6.5989871420 - 0.3320411471*u_r_div_tau_r + 2.5357799441*u_p_div_u_r - 4.0770431880*tau_r_div_tau_p + 0.4238461240*delta_peak_mm - 0.0150335583*tau_p_div_u_p - 6.3801169379*u_p_div_tau_p),0.8343590919540227,0.4203435252257619,0.2012576524902213,0.860934646138555,21.627357061678975,0.9909806435024138
HIGH,d,3,4,delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + u_r_div_tau_r,2.3182451104862896,log(d_csds) = 2.3182451105 + 0.4402177742*delta_peak_mm + 3.7835928443*u_p_div_u_r - 9.8956669794*u_p_div_tau_p + 0.3898959666*u_r_div_tau_r,d_csds = exp(2.3182451105 + 0.4402177742*delta_peak_mm + 3.7835928443*u_p_div_u_r - 9.8956669794*u_p_div_tau_p + 0.3898959666*u_r_div_tau_r),0.870700559557666,0.4768198003872353,0.1942677651623428,0.7910887748126854,26.50787205955176,0.9700718984900688
