u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
4.75,1.18,0.072,0.06875,0.0832453537063408,0.1191774991058455
4.75,1.07,0.082,0.07425,0.1059245022212473,0.11905095551035172
4.75,0.99,0.091,0.0815,0.1165845623553453,0.12009959339209984
4.75,1.33,0.123,0.109,0.1935437839006371,0.14707224970597738
3.0,0.57,0.057,0.045,0.0873378142666348,0.10503964571498962
3.0,0.74,0.052,0.0426666666666666,0.091004766586305,0.10848785957139091
3.75,1.17,0.042,0.037,0.0749972465016185,0.11279496409762112
4.333333333333333,2.7,0.036,0.0356666666666666,0.0479824484344826,0.16185746599061768
3.5,0.75,0.022,0.02125,0.0239205992767688,0.09577214178078279
3.5,1.15,0.021,0.02,0.0273958891535081,0.10619830955348694
3.5,1.1,0.02,0.01925,0.024206977641193,0.1044392007689555
3.5,1.25,0.019,0.01875,0.0207347706438796,0.10844036793463607
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.10930491962829102
3.75,0.8,0.039,0.03775,0.0421628695173391,0.10172832179884529
3.75,1.1,0.031,0.03025,0.034476216061608,0.10712107751349209
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,0.6364237585996664
3.0,1.49,0.929,0.87,2.261168014799032,3.236792076840382
3.5,2.48,1.278,1.2245,6.199218816480315,15.343461459064127
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,0.8510035793120271
3.5,2.0,0.785,0.745,2.2330839300345446,2.1753224676023106
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,5.072279077200262
3.5,2.5,1.53,1.435,12.626062390354296,36.568797411085306
13.0,1.28,0.381,0.236,0.5158827945510767,0.1736393580816618
13.0,1.94,1.479,1.139,2.0441763320711632,8.663061592725342
13.0,0.34,0.306,0.104,0.342125551076079,0.09074855691461817
13.0,0.55,1.422,0.768,1.622926430267495,2.5626470508671244
15.0,0.1,0.367,0.136,0.3762542971419538,0.0888351403669188
15.0,0.67,1.297,0.843,1.4428183417647384,2.1761191423239636
15.0,0.42,0.464,0.223,0.509841251907236,0.13660316249044996
15.0,1.34,1.532,0.812,2.1322731944591187,3.6934531381768565
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.08565663676914155
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,0.0979400609565889
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.08045773955990154
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.09330984511711433
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.08925478039823376
