u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
3.5,1.25,0.019,0.01875,0.0207347706438796,0.0054285714285714284,-0.6638534158499092,Model_147
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.019666666666666666,1.029737982431917,Model_147
3.75,0.8,0.039,0.03775,0.0421628695173391,0.0104,0.7473964192186275,Model_147
3.75,1.1,0.031,0.03025,0.034476216061608,0.008266666666666667,-0.1984002440567978,Model_147
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,0.17433333333333334,2.0013764970092898,Model_147
3.0,1.49,0.929,0.87,2.261168014799032,0.3096666666666667,5.684473067534604,Model_147
3.5,2.48,1.278,1.2245,6.199218816480315,0.36514285714285716,13.022004521779337,Model_147
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,0.20199999999999999,2.5859505103548095,Model_147
3.5,2.0,0.785,0.745,2.2330839300345446,0.22428571428571428,5.037755100892684,Model_147
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,0.35566666666666663,8.786859493854337,Model_147
3.5,2.5,1.53,1.435,12.626062390354296,0.43714285714285717,16.372438237205266,Model_147
13.0,1.28,0.381,0.236,0.5158827945510767,0.02930769230769231,2.227878940359618,Model_147
13.0,1.94,1.479,1.139,2.0441763320711632,0.11376923076923078,1.1093072684653276,Model_147
13.0,0.34,0.306,0.104,0.342125551076079,0.02353846153846154,7.087516423205699,Model_147
13.0,0.55,1.422,0.768,1.622926430267495,0.10938461538461539,4.650815986299992,Model_147
13.0,1.07,2.417,1.547,3.0359207977309928,0.1859230769230769,2.72848263529807,Model_147
13.0,1.08,4.482,3.316,5.292113495505316,0.3447692307692308,2.3545456213938802,Model_147
15.0,0.1,0.367,0.136,0.3762542971419538,0.024466666666666668,10.353402978630413,Model_147
15.0,0.67,1.297,0.843,1.4428183417647384,0.08646666666666666,5.830939238739948,Model_147
15.0,0.78,3.232,2.23,3.6162854300913425,0.21546666666666667,3.757382284615232,Model_147
15.0,2.08,4.233,3.386,5.454140731869376,0.28219999999999995,4.270340545968228,Model_147
15.0,0.42,0.464,0.223,0.509841251907236,0.030933333333333334,8.137089215985487,Model_147
15.0,1.34,1.532,0.812,2.1322731944591187,0.10213333333333334,3.1766871171660664,Model_147
15.0,1.56,2.845,1.821,3.870502462074933,0.18966666666666668,2.957517588284279,Model_147
15.0,1.9,4.37,3.015,6.174917494621263,0.29133333333333333,4.039948362813105,Model_147
