lambda,n_components,degree,rows_train,rows_val,rows_test,cv_rmse_mean_z,cv_rmse_std_z,cv_r2_mean_z,cv_r2_std_z,R2_val_z,RMSE_val_z,R2_val_e_gap,RMSE_val_e_gap,R2_val_e,RMSE_val_e,RMSE_val_tau_u,R2_val_tau_u,Valid_curve_count_val,R2_test_z,RMSE_test_z,R2_test_e_gap,RMSE_test_e_gap,R2_test_e,RMSE_test_e,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_test
0.21544346900318823,5,2,191,48,60,0.4073197320008899,0.4780076869367709,0.8165610585110507,0.45071496990501264,0.9302762866067767,0.4181479309866095,0.5697366824452503,6.290478830313122,0.5871131203366307,6.2904788303131225,0.09874062902467562,0.9994606634330552,48,0.8499064878095738,0.5761898931866094,0.9407437704496086,1.4247626499859867,0.9515715341695352,1.4247626499859867,0.3115254810788223,0.9965116585555076,60
0.46415888336127775,5,2,191,48,60,0.4142073749359274,0.50289023959659,0.8030491971988025,0.493003040747621,0.9285293700506894,0.42335383938631005,0.5576839550626149,6.37797615407286,0.5755471494592357,6.37797615407286,0.10001005225648761,0.9994467067198153,48,0.8575447374789651,0.5613373301932696,0.9382895985018413,1.453967505344242,0.9495658077975347,1.453967505344242,0.2952377427838899,0.9968668903828377,60
1.0,5,2,191,48,60,0.42671008305347985,0.5445417623921828,0.778726118818766,0.5684000119156162,0.9256964585709837,0.4316626319868807,0.5348881770698041,6.54026332010845,0.5536719924078726,6.54026332010845,0.10152441001615395,0.9994298238646229,48,0.8707661727391033,0.534653949258646,0.93237367525654,1.5220657289414712,0.9447308885170717,1.5220657289414716,0.2651518912257284,0.9974729065895075,60
2.154434690031882,5,2,191,48,60,0.4484776704574429,0.6029911647469639,0.74006272856138,0.6850327215420635,0.9207001513936959,0.4459394324771606,0.4932638005373101,6.826647988178143,0.5137286408758246,6.826647988178143,0.1031550300740832,0.9994113611699438,48,0.8924731620335182,0.4876891722277654,0.9180552749205583,1.675467530355326,0.9330288587612243,1.675467530355326,0.2129143760506476,0.9983705471081731,60
4.641588833612772,5,2,191,48,60,0.4864206034719216,0.6589056588815456,0.69250333656022,0.8156847569263647,0.9102286144912776,0.4744698949681019,0.42328896464573884,7.282754583642887,0.446579780009825,7.282754583642887,0.10538110766426337,0.9993856814838463,48,0.9230774374462539,0.4124882176755481,0.8843547532079961,1.9903956241674263,0.9054863610928947,1.9903956241674265,0.14906378727116984,0.99920131387572,60
10.0,5,2,191,48,60,0.5510746288539223,0.6674879795166846,0.6572346263176154,0.8708030468652174,0.8870433518803071,0.5322253987595466,0.32401317735136503,7.884708816849685,0.3513133039480293,7.884708816849686,0.10990108607401994,0.9993318529491307,48,0.9496525876758731,0.33371309834631857,0.8137304809015351,2.5260759917229056,0.8477671105744942,2.5260759917229056,0.11876281127638737,0.9994930177250675,60
21.54434690031882,5,2,191,48,60,0.6337128284979936,0.5924642070722898,0.6552404052075265,0.7606057926830893,0.8430334964374019,0.6273980866869167,0.2137127039026815,8.503685185518528,0.2454673801857179,8.503685185518528,0.11989055355923785,0.9992048702222994,48,0.9421946552469685,0.3575762568983654,0.6972916978448783,3.220235850832443,0.7526049365822247,3.220235850832443,0.1250270856721131,0.9994381245547562,60
46.41588833612773,5,2,191,48,60,0.7063736682677817,0.4473241154553059,0.6782488804108744,0.5189750783006758,0.7809491010195747,0.7411604181112794,0.11757128461352828,9.00858043220741,0.15320868882829108,9.00858043220741,0.13760519363291315,0.9989525392967696,48,0.8906112896986885,0.49189332254235124,0.5568312743341269,3.8963688884806187,0.6378105449691304,3.8963688884806187,0.1620763448095589,0.9990557845451293,60
100.0,5,2,191,48,60,0.7643891004008484,0.285531524027935,0.6916717009792016,0.27990097079118337,0.7137959426250232,0.8471836991822558,0.04466950027416583,9.373318318772212,0.08325108605416875,9.373318318772212,0.15887422400155757,0.9986037121083357,48,0.8293469446376702,0.614386564878604,0.42365659728071503,4.4434078477004295,0.5289705909913001,4.4434078477004295,0.20303156311007822,0.9985183045287558,60
215.44346900318823,5,2,191,48,60,0.834113736517681,0.1695941671777417,0.6628970675497489,0.13487134801301257,0.6412205094664796,0.9485353092170232,-0.01159197819396196,9.645377568035292,0.02926176058257035,9.645377568035292,0.18062156877065125,0.998195290488472,48,0.7794756788284563,0.6984139784295127,0.3018450638826776,4.89047925561319,0.4294174178028717,4.89047925561319,0.23043156889463315,0.998091396171975,60
464.1588833612773,5,2,191,48,60,0.9414769061504057,0.1351429023652013,0.5781216248937142,0.09202172135223127,0.5473452824698746,1.0654258340096139,-0.05835394321906917,9.865793260142844,-0.015611694900158346,9.865793260142844,0.2170268254151487,0.9973944769304027,48,0.714710390666194,0.7943788142575079,0.184825477791007,5.284462415055453,0.33378056966834224,5.284462415055453,0.2605024121284538,0.997560755496182,60
1000.0,5,2,191,48,60,1.071699112345913,0.13901348926867066,0.4550396073677653,0.09577972521015726,0.43184560523586,1.1936386777397752,-0.09550379553956012,10.037452143299,-0.051261228520022684,10.037452143299,0.2891322037143115,0.9953755400781416,48,0.6100067792254458,0.928780748586204,0.07965529058605547,5.615013110817513,0.2478279051791631,5.615013110817513,0.32438624521934123,0.9962176936783336,60
2154.4346900318824,5,2,191,48,60,1.1927705686095247,0.13846944779962359,0.3270824516217833,0.0873694904549686,0.31603557272290794,1.3096536423757978,-0.12093698807074271,10.153298267226983,-0.07566728656781674,10.153298267226983,0.3935848202651862,0.9914307114318969,48,0.4788165002679433,1.0736927113504688,-0.0022153920937846294,5.859439154006702,0.1809172767311319,5.859439154006702,0.4505308343108325,0.9927040663482214,60
4641.588833612773,5,2,191,48,60,1.2918864099538474,0.13371820223469652,0.21278403271128493,0.05755832454859661,0.21533948875314501,1.402751029668691,-0.13626023221054595,10.222460660988574,-0.09037169245386667,10.222460660988574,0.5139801000729226,0.9853862828762266,48,0.34523137956051586,1.2034515343211603,-0.058083285200187795,6.020539935252807,0.135258003894296,6.020539935252807,0.6512520963553257,0.9847549060313029,60
10000.0,5,2,191,48,60,1.3663544103443916,0.1359087695231507,0.1204487628451425,0.032822650036508166,0.1343990872709473,1.4733249740858967,-0.14520118935346282,10.262600888409604,-0.0989515637683045,10.262600888409604,0.6263490195945534,0.9782979434290044,48,0.22443725630796796,1.3097642893106156,-0.0930671316341094,6.119260366631334,0.10666668067818341,6.119260366631334,0.8854222408634006,0.9718205384334541,60
