dataset,file_name,rows,rows_used_for_metrics,model_family,selection_mode,rank_in_saved_results,tau_r_column,estimated_d_column,true_d_column,true_b_column,rmse_b,r2_b,output_file
HIGH,HIGH_poly_rank_5_e_predictions.csv,67,67,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,114.98732661032265,0.4773599913621127,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_poly_rank_5_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_4_e_predictions.csv,163,163,exponential,d,4,tau_r_MPa,d_pred,d_csds,b_csds,5.878505299421227,0.41891252099197274,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_d_rank_4_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_5_e_predictions.csv,163,163,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,11.272070524371664,-1.1365599540810578,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_d_rank_5_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_1_e_predictions.csv,163,163,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,23.117425572047548,-7.986418203438884,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_d_rank_1_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_2_e_predictions.csv,163,163,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,24.654264567528934,-9.220962472840377,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_d_rank_2_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_3_e_predictions.csv,163,163,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,42.2489386044359,-29.015065489033223,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_d_rank_3_b_predictions.csv
LOW_1,LOW_1_exp_log_rank_2_e_predictions.csv,163,163,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,3.3721998762614698,0.8087795632834424,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_log_rank_2_b_predictions.csv
LOW_1,LOW_1_exp_log_rank_3_e_predictions.csv,163,163,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,3.4552151527281505,0.7992489244559133,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_log_rank_3_b_predictions.csv
LOW_1,LOW_1_exp_log_rank_4_e_predictions.csv,163,163,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,3.696680752771612,0.7702097582273263,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_log_rank_4_b_predictions.csv
LOW_1,LOW_1_exp_log_rank_1_e_predictions.csv,163,163,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,4.2622125527094665,0.694523435963391,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_log_rank_1_b_predictions.csv
LOW_1,LOW_1_exp_log_rank_5_e_predictions.csv,163,163,exponential,log,5,tau_r_MPa,d_pred,d_csds,b_csds,5.163922334869154,0.5515984623170695,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_exp_log_rank_5_b_predictions.csv
LOW_1,LOW_1_poly_rank_1_e_predictions.csv,163,163,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,1.0212629521973444,0.9824618877843503,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_poly_rank_1_b_predictions.csv
LOW_1,LOW_1_poly_rank_3_e_predictions.csv,163,163,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,1.0690130313034203,0.9807835266440666,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_poly_rank_3_b_predictions.csv
LOW_1,LOW_1_poly_rank_4_e_predictions.csv,163,163,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,1.1067703260902397,0.9794021115066911,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_poly_rank_4_b_predictions.csv
LOW_1,LOW_1_poly_rank_5_e_predictions.csv,163,163,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,2.148312501993374,0.9223926952224494,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_poly_rank_5_b_predictions.csv
LOW_1,LOW_1_poly_rank_2_e_predictions.csv,163,163,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,2.5548201051392363,0.8902439826084922,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_1_poly_rank_2_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_4_e_predictions.csv,69,69,exponential,d,4,tau_r_MPa,d_pred,d_csds,b_csds,8.29501949125191,0.8785931428596265,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_d_rank_4_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_3_e_predictions.csv,69,69,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,8.803335115954228,0.8632577052271996,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_d_rank_3_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_5_e_predictions.csv,69,69,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,9.250004373434662,0.8490294382143572,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_d_rank_5_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_1_e_predictions.csv,69,69,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,10.021241191028379,0.8228050156440068,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_d_rank_1_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_2_e_predictions.csv,69,69,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,11.678465325434548,0.7593532802451946,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_d_rank_2_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_1_e_predictions.csv,69,69,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,8.796664605426988,0.8634648529339779,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_log_rank_1_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_3_e_predictions.csv,69,69,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,8.816239660750556,0.8628565185450761,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_log_rank_3_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_4_e_predictions.csv,69,69,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,8.819622974237697,0.8627512381896487,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_log_rank_4_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_2_e_predictions.csv,69,69,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,8.897789472866485,0.8603076425077859,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_log_rank_2_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_5_e_predictions.csv,69,69,exponential,log,5,tau_r_MPa,d_pred,d_csds,b_csds,8.924454725012428,0.8594691166111161,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_exp_log_rank_5_b_predictions.csv
LOW_2,LOW_2_poly_rank_4_e_predictions.csv,69,69,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,2.913538347589118,0.98502213636864,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_poly_rank_4_b_predictions.csv
LOW_2,LOW_2_poly_rank_5_e_predictions.csv,69,69,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,3.1201880780890807,0.9828221051009788,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_poly_rank_5_b_predictions.csv
LOW_2,LOW_2_poly_rank_3_e_predictions.csv,69,69,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,3.3280739776159782,0.9804568602442125,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_poly_rank_3_b_predictions.csv
LOW_2,LOW_2_poly_rank_1_e_predictions.csv,69,69,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,3.5332055687554043,0.9779734637844256,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_poly_rank_1_b_predictions.csv
LOW_2,LOW_2_poly_rank_2_e_predictions.csv,69,69,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,4.101977932368465,0.9703110366041925,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/low/LOW_2_poly_rank_2_b_predictions.csv
