dataset,file_name,rows,rows_used_for_metrics,model_family,selection_mode,rank_in_saved_results,tau_r_column,estimated_d_column,true_d_column,true_b_column,rmse_b,r2_b,output_file
LOW_2,LOW_2_exp_d_rank_5_e_predictions.csv,69,69,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,9.320697570273218,0.8467130340546192,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_d_rank_5_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_3_e_predictions.csv,69,69,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,10.021241191028375,0.822805015644007,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_d_rank_3_b_predictions.csv
LOW_2,LOW_2_exp_d_rank_2_e_predictions.csv,69,69,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,11.678399400283801,0.7593559971478108,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_d_rank_2_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_3_e_predictions.csv,69,69,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,8.201826715245486,0.8813057791604956,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_log_rank_3_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_2_e_predictions.csv,69,69,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,8.817797000056556,0.8628080630116034,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_log_rank_2_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_1_e_predictions.csv,69,69,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,8.965637256301184,0.8581691445891042,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_log_rank_1_b_predictions.csv
LOW_2,LOW_2_exp_log_rank_4_e_predictions.csv,69,69,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,8.995822483959806,0.8572125135239291,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_exp_log_rank_4_b_predictions.csv
LOW_2,LOW_2_poly_rank_4_e_predictions.csv,69,69,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,2.913538347589126,0.9850221363686399,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_poly_rank_4_b_predictions.csv
LOW_2,LOW_2_poly_rank_3_e_predictions.csv,69,69,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,3.328073977616001,0.9804568602442123,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_poly_rank_3_b_predictions.csv
LOW_2,LOW_2_poly_rank_1_e_predictions.csv,69,69,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,3.533205568755378,0.977973463784426,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_poly_rank_1_b_predictions.csv
LOW_2,LOW_2_poly_rank_2_e_predictions.csv,69,69,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,4.10197793236843,0.9703110366041929,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/low/LOW_2_poly_rank_2_b_predictions.csv
