sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
50,-1.821424438665181,0.9823803191489362,0.8757894736842106,4.75,19.76,3.615384615384615,14.775,3.551682692307692,3.166315789473684,222.21599999999998,3.110526315789474
51,-1.7579514652975532,0.8351063829787235,0.681081081081081,1.85,2.331,0.7460317460317459,0.785,0.623015873015873,0.508108108108108,0.7379,0.4243243243243243
52,-1.6377873511031098,0.9495079161317931,0.7007462686567164,4.466666666666667,13.980666666666666,4.977635782747604,14.793333333333337,4.7263045793397245,3.488059701492537,230.48013333333338,3.3119402985074635
53,-0.7184396275850519,0.915492957746479,0.6216216216216215,1.85,2.1275,0.6173913043478261,0.65,0.5652173913043479,0.38378378378378375,0.46149999999999997,0.35135135135135137
54,2.21553462116294,0.8985042735042735,0.16091954022988506,2.175,0.7612499999999999,13.371428571428572,4.205,12.014285714285716,2.1517241379310343,19.679399999999998,1.9333333333333336
55,1.5797350223501043,0.8878244746600742,0.16363636363636364,3.85,2.4255,25.682539682539684,14.365,22.8015873015873,4.202597402597402,232.4257,3.7311688311688314
56,0.8455516067647435,0.731800766283525,0.28723404255319146,1.5666666666666669,0.7050000000000001,1.9333333333333333,0.6366666666666667,1.414814814814815,0.5553191489361702,0.5539000000000001,0.40638297872340423
57,1.0153270689111358,0.8261682242990654,0.26666666666666666,2.175,1.2614999999999998,9.224137931034482,4.42,7.620689655172415,2.4597701149425286,23.647,2.032183908045977
58,0.74910425980389,0.855958230958231,0.2425806451612903,3.875,3.6424999999999996,17.319148936170215,13.935,14.824468085106384,4.201290322580645,226.86180000000002,3.5961290322580646
59,3.3575760456051205,0.8281786941580757,0.08297872340425531,1.5666666666666669,0.2036666666666667,7.461538461538461,0.8033333333333333,6.17948717948718,0.6191489361702127,0.7792333333333333,0.5127659574468084
60,-2.323423185340395,0.9272030651340997,0.8350877192982455,2.85,6.7829999999999995,2.19327731092437,4.84,2.033613445378151,1.831578947368421,25.264799999999997,1.6982456140350877
61,-1.68210134647379,0.9166666666666666,0.6496969696969698,4.125,11.055000000000001,6.324626865671641,15.5375,5.797574626865671,4.109090909090909,263.36062499999997,3.7666666666666666
